"tier","pathway","n_patients","rho_os","p_os","median_untreated","median_treated","p_treatment","constant_effect","q_os","q_treatment"
"libsize","HALLMARK_ADIPOGENESIS",13,-0.241758241758242,0.426175519594509,0.87575,0.7756875,0.284382284382284,FALSE,0.808017049195047,0.710955710955711
"none","HALLMARK_ADIPOGENESIS",13,-0.181318681318681,0.553295009283933,0.605625,0.394133928571429,0.435120435120435,FALSE,0.95147537639111,0.94591398939225
"pcs","HALLMARK_ADIPOGENESIS",13,-0.28021978021978,0.353763635633679,0.881375,0.799883333333333,0.621600621600622,FALSE,0.710292532657515,0.86333419666753
"libsize","HALLMARK_ALLOGRAFT_REJECTION",13,-0.127250622505735,0.678676392705036,0.999,0.9768125,0.121692315805084,FALSE,0.892995253559258,0.710955710955711
"none","HALLMARK_ALLOGRAFT_REJECTION",13,-0.291208791208791,0.334385856197529,0.829666666666667,0.4575625,0.127428127428127,FALSE,0.95147537639111,0.777000777000777
"pcs","HALLMARK_ALLOGRAFT_REJECTION",13,-0.40715306743174,0.167337113419211,0.9965,0.9441875,0.0669020755884391,FALSE,0.710292532657515,0.579218761036943
"libsize","HALLMARK_ANDROGEN_RESPONSE",13,0.258241758241758,0.394284017397362,0.76425,0.733157142857143,0.943278943278943,FALSE,0.808017049195047,0.943278943278943
"none","HALLMARK_ANDROGEN_RESPONSE",13,-0.269230769230769,0.373733042281892,0.5905,0.4315625,0.222222222222222,FALSE,0.95147537639111,0.793650793650794
"pcs","HALLMARK_ANDROGEN_RESPONSE",13,-0.137362637362637,0.654516840294713,0.767,0.593270833333333,0.127428127428127,FALSE,0.818146050368391,0.579218761036943
"libsize","HALLMARK_ANGIOGENESIS",13,-0.241758241758242,0.426175519594509,0.9885,0.9624,0.354312354312354,FALSE,0.808017049195047,0.79348261166443
"none","HALLMARK_ANGIOGENESIS",13,-0.472527472527473,0.102981050299928,0.6245,0.561767857142857,0.127428127428127,FALSE,0.95147537639111,0.777000777000777
"pcs","HALLMARK_ANGIOGENESIS",13,-0.521978021978022,0.0672917119935103,0.945666666666667,0.87195,1,FALSE,0.616725963648862,1
"libsize","HALLMARK_APICAL_JUNCTION",13,-0.272352389700961,0.368000782152232,0.997666666666667,0.9709375,0.142685056402491,FALSE,0.808017049195047,0.710955710955711
"none","HALLMARK_APICAL_JUNCTION",13,0.0989010989010989,0.747868303598391,0.4545,0.62375,0.523698523698524,FALSE,0.95147537639111,0.968540503424224
"pcs","HALLMARK_APICAL_JUNCTION",13,-0.241758241758242,0.426175519594509,0.830166666666667,0.609125,0.0932400932400932,FALSE,0.710292532657515,0.579218761036943
"libsize","HALLMARK_APICAL_SURFACE",13,-0.313186813186813,0.297438422071029,0.887875,0.8407625,0.523698523698524,FALSE,0.808017049195047,0.79348261166443
"none","HALLMARK_APICAL_SURFACE",13,-0.379120879120879,0.201406089961044,0.589166666666667,0.6041375,0.621600621600622,FALSE,0.95147537639111,0.968540503424224
