"cohort","patient","section_id","pathway","n_spots","n_genes","stat","stat_matched_med","n_matched","p_matched","p_adj_BH","tier","sig","rank_effect"
"GSE274557","Pt1","GSM8452847_Pt-1A","HALLMARK_ADIPOGENESIS",2746,13708,0.478925011802876,0.555146899247141,1999,0.9705,0.9995,"none",FALSE,0.0295
"GSE274557","Pt1","GSM8452847_Pt-1A","HALLMARK_ALLOGRAFT_REJECTION",2746,13708,0.292803096955579,0.42690348560875,1999,0.9975,0.9995,"none",FALSE,0.00249999999999995
"GSE274557","Pt1","GSM8452847_Pt-1A","HALLMARK_ANDROGEN_RESPONSE",2746,13708,0.473521028594486,0.438914152972491,1999,0.289,0.7225,"none",FALSE,0.711
"GSE274557","Pt1","GSM8452847_Pt-1A","HALLMARK_ANGIOGENESIS",2746,13708,0.254290521114237,0.305672345739378,1999,0.722,0.9995,"none",FALSE,0.278
"GSE274557","Pt1","GSM8452847_Pt-1A","HALLMARK_APICAL_JUNCTION",2746,13708,0.424014041808582,0.521153308975796,1999,0.9865,0.9995,"none",FALSE,0.0135
"GSE274557","Pt1","GSM8452847_Pt-1A","HALLMARK_APICAL_SURFACE",2746,13708,0.143912744373022,0.209502787093659,1999,0.8685,0.9995,"none",FALSE,0.1315
"GSE274557","Pt1","GSM8452847_Pt-1A","HALLMARK_APOPTOSIS",2746,13708,0.474897761263094,0.521476277180266,1999,0.8275,0.9995,"none",FALSE,0.1725
"GSE274557","Pt1","GSM8452847_Pt-1A","HALLMARK_BILE_ACID_METABOLISM",2746,13708,0.323649276200547,0.285913742967753,1999,0.238,0.626315789473684,"none",FALSE,0.762
"GSE274557","Pt1","GSM8452847_Pt-1A","HALLMARK_CHOLESTEROL_HOMEOSTASIS",2746,13708,0.578551091358194,0.358250078143163,1999,5e-04,0.00625,"none",TRUE,0.9995
"GSE274557","Pt1","GSM8452847_Pt-1A","HALLMARK_COAGULATION",2746,13708,0.453821234594062,0.50523376821157,1999,0.8025,0.9995,"none",FALSE,0.1975
"GSE274557","Pt1","GSM8452847_Pt-1A","HALLMARK_COMPLEMENT",2746,13708,0.346682508021705,0.49478233529395,1999,0.9995,0.9995,"none",FALSE,0.000499999999999945
"GSE274557","Pt1","GSM8452847_Pt-1A","HALLMARK_DNA_REPAIR",2746,13708,0.543872846593197,0.458898377098121,1999,0.032,0.145454545454545,"none",FALSE,0.968
"GSE274557","Pt1","GSM8452847_Pt-1A","HALLMARK_E2F_TARGETS",2746,13708,0.564732182984031,0.415575193667335,1999,5e-04,0.00625,"none",TRUE,0.9995
"GSE274557","Pt1","GSM8452847_Pt-1A","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",2746,13708,0.526257253899243,0.596036207075742,1999,0.9475,0.9995,"none",FALSE,0.0525
"GSE274557","Pt1","GSM8452847_Pt-1A","HALLMARK_ESTROGEN_RESPONSE_EARLY",2746,13708,0.596484527477335,0.470143788067312,1999,0.0015,0.0125,"none",TRUE,0.9985
"GSE274557","Pt1","GSM8452847_Pt-1A","HALLMARK_ESTROGEN_RESPONSE_LATE",2746,13708,0.641282091810521,0.487355109828852,1999,0.001,0.01,"none",TRUE,0.999
"GSE274557","Pt1","GSM8452847_Pt-1A","HALLMARK_FATTY_ACID_METABOLISM",2746,13708,0.522875626404402,0.460188444451955,1999,0.098,0.35,"none",FALSE,0.902
"GSE274557","Pt1","GSM8452847_Pt-1A","HALLMARK_G2M_CHECKPOINT",2746,13708,0.514568871950183,0.42889872065012,1999,0.024,0.12,"none",FALSE,0.976
"GSE274557","Pt1","GSM8452847_Pt-1A","HALLMARK_GLYCOLYSIS",2746,13708,0.720154314182132,0.500123261304282,1999,5e-04,0.00625,"none",TRUE,0.9995
"GSE274557","Pt1","GSM8452847_Pt-1A","HALLMARK_HEDGEHOG_SIGNALING",2746,13708,0.0786266331719449,0.177838513558655,1999,0.995,0.9995,"none",FALSE,0.005
"GSE274557","Pt1","GSM8452847_Pt-1A","HALLMARK_HEME_METABOLISM",2746,13708,0.450729472044262,0.45608728702586,1999,0.547,0.9995,"none",FALSE,0.453
"GSE274557","Pt1","GSM8452847_Pt-1A","HALLMARK_HYPOXIA",2746,13708,0.633177271880139,0.548923310573495,1999,0.0155,0.0861111111111111,"none",FALSE,0.9845
"GSE274557","Pt1","GSM8452847_Pt-1A","HALLMARK_IL2_STAT5_SIGNALING",2746,13708,0.373263049091626,0.469865013535555,1999,0.9905,0.9995,"none",FALSE,0.00949999999999995
"GSE274557","Pt1","GSM8452847_Pt-1A","HALLMARK_IL6_JAK_STAT3_SIGNALING",2746,13708,0.296127796114616,0.340704845555226,1999,0.772,0.9995,"none",FALSE,0.228
"GSE274557","Pt1","GSM8452847_Pt-1A","HALLMARK_INFLAMMATORY_RESPONSE",2746,13708,0.295043732279751,0.424506396733121,1999,0.998,0.9995,"none",FALSE,0.002
"GSE274557","Pt1","GSM8452847_Pt-1A","HALLMARK_INTERFERON_ALPHA_RESPONSE",2746,13708,0.295885944443705,0.360132395697931,1999,0.888,0.9995,"none",FALSE,0.112
"GSE274557","Pt1","GSM8452847_Pt-1A","HALLMARK_INTERFERON_GAMMA_RESPONSE",2746,13708,0.413323920983469,0.471794785458806,1999,0.9015,0.9995,"none",FALSE,0.0985
"GSE274557","Pt1","GSM8452847_Pt-1A","HALLMARK_KRAS_SIGNALING_DN",2746,13708,0.229667678066848,0.21374787255727,1999,0.331,0.788095238095238,"none",FALSE,0.669
"GSE274557","Pt1","GSM8452847_Pt-1A","HALLMARK_KRAS_SIGNALING_UP",2746,13708,0.353124205990711,0.452737407217687,1999,0.9925,0.9995,"none",FALSE,0.00749999999999995
"GSE274557","Pt1","GSM8452847_Pt-1A","HALLMARK_MITOTIC_SPINDLE",2746,13708,0.448865137371541,0.471824794545713,1999,0.715,0.9995,"none",FALSE,0.285
"GSE274557","Pt1","GSM8452847_Pt-1A","HALLMARK_MTORC1_SIGNALING",2746,13708,0.636451457626994,0.523242818527103,1999,0.004,0.0285714285714286,"none",TRUE,0.996
"GSE274557","Pt1","GSM8452847_Pt-1A","HALLMARK_MYC_TARGETS_V1",2746,13708,0.646591597970781,0.602404517123824,1999,0.1255,0.418333333333333,"none",FALSE,0.8745
"GSE274557","Pt1","GSM8452847_Pt-1A","HALLMARK_MYC_TARGETS_V2",2746,13708,0.382918426287882,0.270541932651872,1999,0.0355,0.147916666666667,"none",FALSE,0.9645
