"tier","cohort","patient","pathway","fraction_sections","rank_effect","positive"
"libsize","GSE282302","C1_D1","HALLMARK_ADIPOGENESIS",0,0.3845,FALSE
"none","GSE282302","C1_D1","HALLMARK_ADIPOGENESIS",0,0.108,FALSE
"pcs","GSE282302","C1_D1","HALLMARK_ADIPOGENESIS",0,0.1725,FALSE
"libsize","GSE282302","C1_D10","HALLMARK_ADIPOGENESIS",0,0.587,FALSE
"none","GSE282302","C1_D10","HALLMARK_ADIPOGENESIS",0.5,0.714,TRUE
"pcs","GSE282302","C1_D10","HALLMARK_ADIPOGENESIS",0,0.80075,FALSE
"libsize","GSE282302","C1_D11","HALLMARK_ADIPOGENESIS",0,0.81125,FALSE
"none","GSE282302","C1_D11","HALLMARK_ADIPOGENESIS",0,0.62375,FALSE
"pcs","GSE282302","C1_D11","HALLMARK_ADIPOGENESIS",0.5,0.978,TRUE
"libsize","GSE282302","C1_D12","HALLMARK_ADIPOGENESIS",0.5,0.911,TRUE
"none","GSE282302","C1_D12","HALLMARK_ADIPOGENESIS",0,0.2125,FALSE
"pcs","GSE282302","C1_D12","HALLMARK_ADIPOGENESIS",0,0.6505,FALSE
"libsize","GSE282302","C1_D13","HALLMARK_ADIPOGENESIS",0.5,0.81525,TRUE
"none","GSE282302","C1_D13","HALLMARK_ADIPOGENESIS",0,0.185,FALSE
"pcs","GSE282302","C1_D13","HALLMARK_ADIPOGENESIS",0.5,0.8165,TRUE
"libsize","GSE282302","C1_D14","HALLMARK_ADIPOGENESIS",0.666666666666667,0.924,TRUE
"none","GSE282302","C1_D14","HALLMARK_ADIPOGENESIS",0,0.269333333333333,FALSE
"pcs","GSE282302","C1_D14","HALLMARK_ADIPOGENESIS",0,0.759,FALSE
"libsize","GSE282302","C1_D2","HALLMARK_ADIPOGENESIS",1,0.999,TRUE
"none","GSE282302","C1_D2","HALLMARK_ADIPOGENESIS",0,0.764,FALSE
"pcs","GSE282302","C1_D2","HALLMARK_ADIPOGENESIS",0,0.645,FALSE
"libsize","GSE282302","C1_D3","HALLMARK_ADIPOGENESIS",1,0.9995,TRUE
"none","GSE282302","C1_D3","HALLMARK_ADIPOGENESIS",0,0.00149999999999995,FALSE
"pcs","GSE282302","C1_D3","HALLMARK_ADIPOGENESIS",0,0.946,FALSE
"libsize","GSE282302","C1_D4","HALLMARK_ADIPOGENESIS",0,0.9655,FALSE
"none","GSE282302","C1_D4","HALLMARK_ADIPOGENESIS",0,0.0375,FALSE
"pcs","GSE282302","C1_D4","HALLMARK_ADIPOGENESIS",1,0.996,TRUE
"libsize","GSE282302","C1_D5","HALLMARK_ADIPOGENESIS",1,0.9895,TRUE
"none","GSE282302","C1_D5","HALLMARK_ADIPOGENESIS",0,0.051,FALSE
"pcs","GSE282302","C1_D5","HALLMARK_ADIPOGENESIS",0,0.099,FALSE
"libsize","GSE282302","C1_D6","HALLMARK_ADIPOGENESIS",0,0.044,FALSE
"none","GSE282302","C1_D6","HALLMARK_ADIPOGENESIS",0,0.146,FALSE
"pcs","GSE282302","C1_D6","HALLMARK_ADIPOGENESIS",1,0.9935,TRUE
"libsize","GSE282302","C1_D7","HALLMARK_ADIPOGENESIS",0,0.9105,FALSE
"none","GSE282302","C1_D7","HALLMARK_ADIPOGENESIS",0,0.8435,FALSE
"pcs","GSE282302","C1_D7","HALLMARK_ADIPOGENESIS",0,0.8835,FALSE
"libsize","GSE282302","C1_D8","HALLMARK_ADIPOGENESIS",1,0.9995,TRUE
"none","GSE282302","C1_D8","HALLMARK_ADIPOGENESIS",0.5,0.50325,TRUE
"pcs","GSE282302","C1_D8","HALLMARK_ADIPOGENESIS",1,0.9995,TRUE
"libsize","GSE282302","C1_D9","HALLMARK_ADIPOGENESIS",1,0.99725,TRUE
"none","GSE282302","C1_D9","HALLMARK_ADIPOGENESIS",0,0.56775,FALSE
"pcs","GSE282302","C1_D9","HALLMARK_ADIPOGENESIS",0,0.8775,FALSE
"libsize","GSE282302","C2_D1","HALLMARK_ADIPOGENESIS",1,0.9995,TRUE
