"tier","cohort","pathway","positive"
"libsize","GSE274557","HALLMARK_ADIPOGENESIS",0.538461538461538
"none","GSE274557","HALLMARK_ADIPOGENESIS",0.230769230769231
"pcs","GSE274557","HALLMARK_ADIPOGENESIS",0.307692307692308
"libsize","GSE282302","HALLMARK_ADIPOGENESIS",0.538461538461538
"none","GSE282302","HALLMARK_ADIPOGENESIS",0.230769230769231
"pcs","GSE282302","HALLMARK_ADIPOGENESIS",0.538461538461538
"libsize","GSE274557","HALLMARK_ALLOGRAFT_REJECTION",1
"none","GSE274557","HALLMARK_ALLOGRAFT_REJECTION",0.230769230769231
"pcs","GSE274557","HALLMARK_ALLOGRAFT_REJECTION",0.923076923076923
"libsize","GSE282302","HALLMARK_ALLOGRAFT_REJECTION",1
"none","GSE282302","HALLMARK_ALLOGRAFT_REJECTION",0.666666666666667
"pcs","GSE282302","HALLMARK_ALLOGRAFT_REJECTION",0.948717948717949
"libsize","GSE274557","HALLMARK_ANDROGEN_RESPONSE",0.307692307692308
"none","GSE274557","HALLMARK_ANDROGEN_RESPONSE",0
"pcs","GSE274557","HALLMARK_ANDROGEN_RESPONSE",0
"libsize","GSE282302","HALLMARK_ANDROGEN_RESPONSE",0.153846153846154
"none","GSE282302","HALLMARK_ANDROGEN_RESPONSE",0.230769230769231
"pcs","GSE282302","HALLMARK_ANDROGEN_RESPONSE",0.128205128205128
"libsize","GSE274557","HALLMARK_ANGIOGENESIS",0.923076923076923
"none","GSE274557","HALLMARK_ANGIOGENESIS",0.307692307692308
"pcs","GSE274557","HALLMARK_ANGIOGENESIS",0.692307692307692
"libsize","GSE282302","HALLMARK_ANGIOGENESIS",0.871794871794872
"none","GSE282302","HALLMARK_ANGIOGENESIS",0.615384615384615
"pcs","GSE282302","HALLMARK_ANGIOGENESIS",0.794871794871795
"libsize","GSE274557","HALLMARK_APICAL_JUNCTION",1
"none","GSE274557","HALLMARK_APICAL_JUNCTION",0.153846153846154
"pcs","GSE274557","HALLMARK_APICAL_JUNCTION",0.153846153846154
"libsize","GSE282302","HALLMARK_APICAL_JUNCTION",0.923076923076923
"none","GSE282302","HALLMARK_APICAL_JUNCTION",0.666666666666667
"pcs","GSE282302","HALLMARK_APICAL_JUNCTION",0.58974358974359
"libsize","GSE274557","HALLMARK_APICAL_SURFACE",0.307692307692308
"none","GSE274557","HALLMARK_APICAL_SURFACE",0
"pcs","GSE274557","HALLMARK_APICAL_SURFACE",0
"libsize","GSE282302","HALLMARK_APICAL_SURFACE",0.230769230769231
"none","GSE282302","HALLMARK_APICAL_SURFACE",0.179487179487179
"pcs","GSE282302","HALLMARK_APICAL_SURFACE",0.0512820512820513
"libsize","GSE274557","HALLMARK_APOPTOSIS",0.538461538461538
"none","GSE274557","HALLMARK_APOPTOSIS",0
"pcs","GSE274557","HALLMARK_APOPTOSIS",0.153846153846154
"libsize","GSE282302","HALLMARK_APOPTOSIS",0.871794871794872
"none","GSE282302","HALLMARK_APOPTOSIS",0.564102564102564
"pcs","GSE282302","HALLMARK_APOPTOSIS",0.58974358974359
"libsize","GSE274557","HALLMARK_BILE_ACID_METABOLISM",0.384615384615385
"none","GSE274557","HALLMARK_BILE_ACID_METABOLISM",0.0769230769230769
"pcs","GSE274557","HALLMARK_BILE_ACID_METABOLISM",0.0769230769230769
"libsize","GSE282302","HALLMARK_BILE_ACID_METABOLISM",0.58974358974359
"none","GSE282302","HALLMARK_BILE_ACID_METABOLISM",0.358974358974359
"pcs","GSE282302","HALLMARK_BILE_ACID_METABOLISM",0.102564102564103
"libsize","GSE274557","HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.384615384615385
"none","GSE274557","HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.307692307692308
"pcs","GSE274557","HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.692307692307692
"libsize","GSE282302","HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.82051282051282
"none","GSE282302","HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.512820512820513
"pcs","GSE282302","HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.666666666666667
"libsize","GSE274557","HALLMARK_COAGULATION",1
"none","GSE274557","HALLMARK_COAGULATION",0.384615384615385
"pcs","GSE274557","HALLMARK_COAGULATION",0.846153846153846
"libsize","GSE282302","HALLMARK_COAGULATION",0.948717948717949
"none","GSE282302","HALLMARK_COAGULATION",0.666666666666667
"pcs","GSE282302","HALLMARK_COAGULATION",0.897435897435897
"libsize","GSE274557","HALLMARK_COMPLEMENT",0.769230769230769
"none","GSE274557","HALLMARK_COMPLEMENT",0.230769230769231
"pcs","GSE274557","HALLMARK_COMPLEMENT",0.384615384615385
"libsize","GSE282302","HALLMARK_COMPLEMENT",0.897435897435897
"none","GSE282302","HALLMARK_COMPLEMENT",0.564102564102564
"pcs","GSE282302","HALLMARK_COMPLEMENT",0.794871794871795
"libsize","GSE274557","HALLMARK_DNA_REPAIR",0
"none","GSE274557","HALLMARK_DNA_REPAIR",0.230769230769231
"pcs","GSE274557","HALLMARK_DNA_REPAIR",0
"libsize","GSE282302","HALLMARK_DNA_REPAIR",0.205128205128205
"none","GSE282302","HALLMARK_DNA_REPAIR",0.102564102564103
"pcs","GSE282302","HALLMARK_DNA_REPAIR",0.0256410256410256
"libsize","GSE274557","HALLMARK_E2F_TARGETS",0.846153846153846
"none","GSE274557","HALLMARK_E2F_TARGETS",0.615384615384615
"pcs","GSE274557","HALLMARK_E2F_TARGETS",1
"libsize","GSE282302","HALLMARK_E2F_TARGETS",0.82051282051282
"none","GSE282302","HALLMARK_E2F_TARGETS",0.461538461538462
"pcs","GSE282302","HALLMARK_E2F_TARGETS",0.948717948717949
"libsize","GSE274557","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",1
"none","GSE274557","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.153846153846154
"pcs","GSE274557","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",1
"libsize","GSE282302","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.948717948717949
