"tier","pathway","positive_patients","recurrent_80pct_both_cohorts"
"libsize","HALLMARK_ADIPOGENESIS",28,FALSE
"libsize","HALLMARK_ALLOGRAFT_REJECTION",52,TRUE
"libsize","HALLMARK_ANDROGEN_RESPONSE",10,FALSE
"libsize","HALLMARK_ANGIOGENESIS",46,TRUE
"libsize","HALLMARK_APICAL_JUNCTION",49,TRUE
"libsize","HALLMARK_APICAL_SURFACE",13,FALSE
"libsize","HALLMARK_APOPTOSIS",41,FALSE
"libsize","HALLMARK_BILE_ACID_METABOLISM",28,FALSE
"libsize","HALLMARK_CHOLESTEROL_HOMEOSTASIS",37,FALSE
"libsize","HALLMARK_COAGULATION",50,TRUE
"libsize","HALLMARK_COMPLEMENT",45,FALSE
"libsize","HALLMARK_DNA_REPAIR",8,FALSE
"libsize","HALLMARK_E2F_TARGETS",43,TRUE
"libsize","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",50,TRUE
"libsize","HALLMARK_ESTROGEN_RESPONSE_EARLY",39,FALSE
"libsize","HALLMARK_ESTROGEN_RESPONSE_LATE",41,FALSE
"libsize","HALLMARK_FATTY_ACID_METABOLISM",27,FALSE
"libsize","HALLMARK_G2M_CHECKPOINT",46,TRUE
"libsize","HALLMARK_GLYCOLYSIS",42,FALSE
"libsize","HALLMARK_HEDGEHOG_SIGNALING",12,FALSE
"libsize","HALLMARK_HEME_METABOLISM",8,FALSE
"libsize","HALLMARK_HYPOXIA",49,TRUE
"libsize","HALLMARK_IL2_STAT5_SIGNALING",33,FALSE
"libsize","HALLMARK_IL6_JAK_STAT3_SIGNALING",47,TRUE
"libsize","HALLMARK_INFLAMMATORY_RESPONSE",49,TRUE
"libsize","HALLMARK_INTERFERON_ALPHA_RESPONSE",52,TRUE
"libsize","HALLMARK_INTERFERON_GAMMA_RESPONSE",51,TRUE
"libsize","HALLMARK_KRAS_SIGNALING_DN",28,FALSE
"libsize","HALLMARK_KRAS_SIGNALING_UP",43,FALSE
"libsize","HALLMARK_MITOTIC_SPINDLE",39,FALSE
"libsize","HALLMARK_MTORC1_SIGNALING",41,FALSE
"libsize","HALLMARK_MYC_TARGETS_V1",29,FALSE
"libsize","HALLMARK_MYC_TARGETS_V2",34,FALSE
"libsize","HALLMARK_MYOGENESIS",49,TRUE
"libsize","HALLMARK_NOTCH_SIGNALING",12,FALSE
"libsize","HALLMARK_OXIDATIVE_PHOSPHORYLATION",29,FALSE
"libsize","HALLMARK_P53_PATHWAY",26,FALSE
"libsize","HALLMARK_PANCREAS_BETA_CELLS",33,FALSE
"libsize","HALLMARK_PEROXISOME",22,FALSE
"libsize","HALLMARK_PI3K_AKT_MTOR_SIGNALING",12,FALSE
"libsize","HALLMARK_PROTEIN_SECRETION",13,FALSE
"libsize","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",8,FALSE
"libsize","HALLMARK_SPERMATOGENESIS",16,FALSE
"libsize","HALLMARK_TGF_BETA_SIGNALING",31,FALSE
"libsize","HALLMARK_TNFA_SIGNALING_VIA_NFKB",50,TRUE
"libsize","HALLMARK_UNFOLDED_PROTEIN_RESPONSE",10,FALSE
"libsize","HALLMARK_UV_RESPONSE_DN",42,FALSE
"libsize","HALLMARK_UV_RESPONSE_UP",21,FALSE
"libsize","HALLMARK_WNT_BETA_CATENIN_SIGNALING",5,FALSE
"libsize","HALLMARK_XENOBIOTIC_METABOLISM",32,FALSE
"none","HALLMARK_ADIPOGENESIS",12,FALSE
"none","HALLMARK_ALLOGRAFT_REJECTION",29,FALSE
