"pathway","stat","stat_matched_med","stat_matched_mad","z_matched","n_matched","p_matched","p_adj_BH","arm","section_id","analysis"
"HALLMARK_ADIPOGENESIS",0.478925011802876,0.555146899247141,0.0400228097635887,-1.90446117837556,1999,0.9705,0.9995,"raw","GSM8452847_Pt-1A","full_section"
"HALLMARK_ALLOGRAFT_REJECTION",0.292803096955579,0.42690348560875,0.0503430565233289,-2.66373156327981,1999,0.9975,0.9995,"raw","GSM8452847_Pt-1A","full_section"
"HALLMARK_ANDROGEN_RESPONSE",0.473521028594486,0.438914152972491,0.0597819770596327,0.578884763002635,1999,0.289,0.7225,"raw","GSM8452847_Pt-1A","full_section"
"HALLMARK_ANGIOGENESIS",0.254290521114237,0.305672345739378,0.0876452201422279,-0.586247881421941,1999,0.722,0.9995,"raw","GSM8452847_Pt-1A","full_section"
"HALLMARK_APICAL_JUNCTION",0.424014041808582,0.521153308975796,0.0434432626331711,-2.23600303659153,1999,0.9865,0.9995,"raw","GSM8452847_Pt-1A","full_section"
"HALLMARK_APICAL_SURFACE",0.143912744373022,0.209502787093659,0.0668970686169688,-0.980462134988076,1999,0.8685,0.9995,"raw","GSM8452847_Pt-1A","full_section"
"HALLMARK_APOPTOSIS",0.474897761263094,0.521476277180266,0.0486279488683586,-0.957854834536933,1999,0.8275,0.9995,"raw","GSM8452847_Pt-1A","full_section"
"HALLMARK_BILE_ACID_METABOLISM",0.323649276200547,0.285913742967753,0.0509878164136694,0.7400892190919,1999,0.238,0.626315789473684,"raw","GSM8452847_Pt-1A","full_section"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.578551091358194,0.358250078143163,0.0605421686741289,3.63880280537705,1999,5e-04,0.00625,"raw","GSM8452847_Pt-1A","full_section"
"HALLMARK_COAGULATION",0.453821234594062,0.50523376821157,0.0596868929544933,-0.861370580249608,1999,0.8025,0.9995,"raw","GSM8452847_Pt-1A","full_section"
"HALLMARK_COMPLEMENT",0.346682508021705,0.49478233529395,0.04658194756756,-3.17933952970621,1999,0.9995,0.9995,"raw","GSM8452847_Pt-1A","full_section"
"HALLMARK_DNA_REPAIR",0.543872846593197,0.458898377098121,0.0452209828100392,1.87909382359137,1999,0.032,0.145454545454545,"raw","GSM8452847_Pt-1A","full_section"
"HALLMARK_E2F_TARGETS",0.564732182984031,0.415575193667335,0.0414753697254555,3.5962787144282,1999,5e-04,0.00625,"raw","GSM8452847_Pt-1A","full_section"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.526257253899243,0.596036207075742,0.0426529121329364,-1.63597160632359,1999,0.9475,0.9995,"raw","GSM8452847_Pt-1A","full_section"
"HALLMARK_ESTROGEN_RESPONSE_EARLY",0.596484527477335,0.470143788067312,0.041970553736338,3.01022331522487,1999,0.0015,0.0125,"raw","GSM8452847_Pt-1A","full_section"
"HALLMARK_ESTROGEN_RESPONSE_LATE",0.641282091810521,0.487355109828852,0.0448000406515605,3.43586701581055,1999,0.001,0.01,"raw","GSM8452847_Pt-1A","full_section"
"HALLMARK_FATTY_ACID_METABOLISM",0.522875626404402,0.460188444451955,0.0484725762857054,1.29325046770689,1999,0.098,0.35,"raw","GSM8452847_Pt-1A","full_section"
"HALLMARK_G2M_CHECKPOINT",0.514568871950183,0.42889872065012,0.0422240461917,2.02894225037352,1999,0.024,0.12,"raw","GSM8452847_Pt-1A","full_section"
"HALLMARK_GLYCOLYSIS",0.720154314182132,0.500123261304282,0.0427611686179741,5.14558090878188,1999,5e-04,0.00625,"raw","GSM8452847_Pt-1A","full_section"
"HALLMARK_HEDGEHOG_SIGNALING",0.0786266331719449,0.177838513558655,0.0633766064036792,-1.56543377780086,1999,0.995,0.9995,"raw","GSM8452847_Pt-1A","full_section"
"HALLMARK_HEME_METABOLISM",0.450729472044262,0.45608728702586,0.0428201519794354,-0.125123679714445,1999,0.547,0.9995,"raw","GSM8452847_Pt-1A","full_section"
"HALLMARK_HYPOXIA",0.633177271880139,0.548923310573495,0.0422545400024546,1.99396233639628,1999,0.0155,0.0861111111111111,"raw","GSM8452847_Pt-1A","full_section"
"HALLMARK_IL2_STAT5_SIGNALING",0.373263049091626,0.469865013535555,0.0473915016661018,-2.03838158842361,1999,0.9905,0.9995,"raw","GSM8452847_Pt-1A","full_section"
"HALLMARK_IL6_JAK_STAT3_SIGNALING",0.296127796114616,0.340704845555226,0.0612475871182486,-0.727817233918884,1999,0.772,0.9995,"raw","GSM8452847_Pt-1A","full_section"
"HALLMARK_INFLAMMATORY_RESPONSE",0.295043732279751,0.424506396733121,0.045807206292347,-2.82625104065774,1999,0.998,0.9995,"raw","GSM8452847_Pt-1A","full_section"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",0.295885944443705,0.360132395697931,0.0571072134799345,-1.12501464069508,1999,0.888,0.9995,"raw","GSM8452847_Pt-1A","full_section"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",0.413323920983469,0.471794785458806,0.0436722693140172,-1.33885564899121,1999,0.9015,0.9995,"raw","GSM8452847_Pt-1A","full_section"
"HALLMARK_KRAS_SIGNALING_DN",0.229667678066848,0.21374787255727,0.038218419121298,0.416547985908347,1999,0.331,0.788095238095238,"raw","GSM8452847_Pt-1A","full_section"
"HALLMARK_KRAS_SIGNALING_UP",0.353124205990711,0.452737407217687,0.044394465093191,-2.24382028295357,1999,0.9925,0.9995,"raw","GSM8452847_Pt-1A","full_section"
"HALLMARK_MITOTIC_SPINDLE",0.448865137371541,0.471824794545713,0.0401117782926164,-0.572391904609183,1999,0.715,0.9995,"raw","GSM8452847_Pt-1A","full_section"
"HALLMARK_MTORC1_SIGNALING",0.636451457626994,0.523242818527103,0.0402712800182766,2.81115075181401,1999,0.004,0.0285714285714286,"raw","GSM8452847_Pt-1A","full_section"
"HALLMARK_MYC_TARGETS_V1",0.646591597970781,0.602404517123824,0.0404066724167658,1.09355901399648,1999,0.1255,0.418333333333333,"raw","GSM8452847_Pt-1A","full_section"
"HALLMARK_MYC_TARGETS_V2",0.382918426287882,0.270541932651872,0.0554352869415392,2.02716536408516,1999,0.0355,0.147916666666667,"raw","GSM8452847_Pt-1A","full_section"
"HALLMARK_MYOGENESIS",0.566726675409682,0.5051070245474,0.0463691984612663,1.32889187018739,1999,0.094,0.35,"raw","GSM8452847_Pt-1A","full_section"
"HALLMARK_NOTCH_SIGNALING",0.22334469058369,0.219821758920457,0.0652544470271759,0.0539876104040244,1999,0.477,0.954,"raw","GSM8452847_Pt-1A","full_section"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",0.678173713335821,0.59468491832981,0.0419088224288217,1.99215320706778,1999,0.0105,0.065625,"raw","GSM8452847_Pt-1A","full_section"
"HALLMARK_P53_PATHWAY",0.708866150993116,0.521837150406558,0.0401637671672591,4.65665981499417,1999,5e-04,0.00625,"raw","GSM8452847_Pt-1A","full_section"
"HALLMARK_PANCREAS_BETA_CELLS",0.152961171058823,0.142487896896581,0.0582626040775034,0.179759801815745,1999,0.439,0.919791666666667,"raw","GSM8452847_Pt-1A","full_section"
"HALLMARK_PEROXISOME",0.428626502924993,0.374438402750982,0.0595537171484801,0.90990290394316,1999,0.18,0.529411764705882,"raw","GSM8452847_Pt-1A","full_section"
