"pathway","stat","p_perm","p_adj_BH","p_adj_wy","n_spots"
"HALLMARK_ADIPOGENESIS",0.378005468793509,0.001,0.001,0.001,4218
"HALLMARK_ALLOGRAFT_REJECTION",0.167438010548011,0.001,0.001,0.001,4218
"HALLMARK_ANDROGEN_RESPONSE",0.219352654958432,0.001,0.001,0.001,4218
"HALLMARK_ANGIOGENESIS",0.0787335240910507,0.001,0.001,0.001,4218
"HALLMARK_APICAL_JUNCTION",0.293574830147602,0.001,0.001,0.001,4218
"HALLMARK_APICAL_SURFACE",0.0894212654030253,0.001,0.001,0.001,4218
"HALLMARK_APOPTOSIS",0.239256666525748,0.001,0.001,0.001,4218
"HALLMARK_BILE_ACID_METABOLISM",0.11123976336198,0.001,0.001,0.001,4218
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.148380209990839,0.001,0.001,0.001,4218
"HALLMARK_COAGULATION",0.110445394472665,0.001,0.001,0.001,4218
"HALLMARK_COMPLEMENT",0.208354812166328,0.001,0.001,0.001,4218
"HALLMARK_DNA_REPAIR",0.311322263690422,0.001,0.001,0.001,4218
"HALLMARK_E2F_TARGETS",0.260841919662625,0.001,0.001,0.001,4218
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.205608809252891,0.001,0.001,0.001,4218
"HALLMARK_ESTROGEN_RESPONSE_EARLY",0.305211511313926,0.001,0.001,0.001,4218
"HALLMARK_ESTROGEN_RESPONSE_LATE",0.270802158799551,0.001,0.001,0.001,4218
"HALLMARK_FATTY_ACID_METABOLISM",0.302986915915477,0.001,0.001,0.001,4218
"HALLMARK_G2M_CHECKPOINT",0.259722162226112,0.001,0.001,0.001,4218
"HALLMARK_GLYCOLYSIS",0.341500860666982,0.001,0.001,0.001,4218
"HALLMARK_HEDGEHOG_SIGNALING",0.180963516417482,0.001,0.001,0.001,4218
"HALLMARK_HEME_METABOLISM",0.303188798235995,0.001,0.001,0.001,4218
"HALLMARK_HYPOXIA",0.237683590698641,0.001,0.001,0.001,4218
"HALLMARK_IL2_STAT5_SIGNALING",0.209524613451046,0.001,0.001,0.001,4218
"HALLMARK_IL6_JAK_STAT3_SIGNALING",0.0425807712205782,0.001,0.001,0.001,4218
"HALLMARK_INFLAMMATORY_RESPONSE",0.110656675417921,0.001,0.001,0.001,4218
"HALLMARK_INTERFERON_ALPHA_RESPONSE",0.17359216064324,0.001,0.001,0.001,4218
"HALLMARK_INTERFERON_GAMMA_RESPONSE",0.195411894806851,0.001,0.001,0.001,4218
"HALLMARK_KRAS_SIGNALING_DN",0.213075913709621,0.001,0.001,0.001,4218
"HALLMARK_KRAS_SIGNALING_UP",0.191057933034211,0.001,0.001,0.001,4218
"HALLMARK_MITOTIC_SPINDLE",0.333875001339252,0.001,0.001,0.001,4218
"HALLMARK_MTORC1_SIGNALING",0.392026221475709,0.001,0.001,0.001,4218
"HALLMARK_MYC_TARGETS_V1",0.48515650257026,0.001,0.001,0.001,4218
"HALLMARK_MYC_TARGETS_V2",0.122932564006779,0.001,0.001,0.001,4218
"HALLMARK_MYOGENESIS",0.218125281455046,0.001,0.001,0.001,4218
"HALLMARK_NOTCH_SIGNALING",0.0418404294303618,0.001,0.001,0.001,4218
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",0.604277281940801,0.001,0.001,0.001,4218
"HALLMARK_P53_PATHWAY",0.296688892591228,0.001,0.001,0.001,4218
"HALLMARK_PANCREAS_BETA_CELLS",0.159687573063548,0.001,0.001,0.001,4218
"HALLMARK_PEROXISOME",0.185447075707402,0.001,0.001,0.001,4218
"HALLMARK_PI3K_AKT_MTOR_SIGNALING",0.320800516677195,0.001,0.001,0.001,4218
"HALLMARK_PROTEIN_SECRETION",0.349628089666592,0.001,0.001,0.001,4218
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",0.236199909718238,0.001,0.001,0.001,4218
"HALLMARK_SPERMATOGENESIS",0.196982265581094,0.001,0.001,0.001,4218
"HALLMARK_TGF_BETA_SIGNALING",0.0991875546557175,0.001,0.001,0.001,4218
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.198026586690709,0.001,0.001,0.001,4218
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE",0.308935887862896,0.001,0.001,0.001,4218
"HALLMARK_UV_RESPONSE_DN",0.262093382417258,0.001,0.001,0.001,4218
"HALLMARK_UV_RESPONSE_UP",0.342597130995269,0.001,0.001,0.001,4218
"HALLMARK_WNT_BETA_CATENIN_SIGNALING",0.0715835730402046,0.001,0.001,0.001,4218
"HALLMARK_XENOBIOTIC_METABOLISM",0.207649651018651,0.001,0.001,0.001,4218
"SVP_MATCH__HALLMARK_ADIPOGENESIS__1",0.39594479394348,0.001,0.001,0.001,4218
"SVP_MATCH__HALLMARK_ADIPOGENESIS__2",0.407105958277817,0.001,0.001,0.001,4218
"SVP_MATCH__HALLMARK_ALLOGRAFT_REJECTION__1",0.21222287291663,0.001,0.001,0.001,4218
"SVP_MATCH__HALLMARK_ALLOGRAFT_REJECTION__2",0.174566313748508,0.001,0.001,0.001,4218
"SVP_MATCH__HALLMARK_ANDROGEN_RESPONSE__1",0.249547511869492,0.001,0.001,0.001,4218
"SVP_MATCH__HALLMARK_ANDROGEN_RESPONSE__2",0.293582017888553,0.001,0.001,0.001,4218
"SVP_MATCH__HALLMARK_ANGIOGENESIS__1",0.0766496026741289,0.001,0.001,0.001,4218
"SVP_MATCH__HALLMARK_ANGIOGENESIS__2",0.0925351392507119,0.001,0.001,0.001,4218
"SVP_MATCH__HALLMARK_APICAL_JUNCTION__1",0.341300898398613,0.001,0.001,0.001,4218
"SVP_MATCH__HALLMARK_APICAL_JUNCTION__2",0.329350738824027,0.001,0.001,0.001,4218
"SVP_MATCH__HALLMARK_APICAL_SURFACE__1",0.0932507676588534,0.001,0.001,0.001,4218
"SVP_MATCH__HALLMARK_APICAL_SURFACE__2",0.0869777501544447,0.001,0.001,0.001,4218
"SVP_MATCH__HALLMARK_APOPTOSIS__1",0.3060153617768,0.001,0.001,0.001,4218
"SVP_MATCH__HALLMARK_APOPTOSIS__2",0.324660290273195,0.001,0.001,0.001,4218
"SVP_MATCH__HALLMARK_BILE_ACID_METABOLISM__1",0.133886105175661,0.001,0.001,0.001,4218
"SVP_MATCH__HALLMARK_BILE_ACID_METABOLISM__2",0.158398565589739,0.001,0.001,0.001,4218
"SVP_MATCH__HALLMARK_CHOLESTEROL_HOMEOSTASIS__1",0.265011993623119,0.001,0.001,0.001,4218
"SVP_MATCH__HALLMARK_CHOLESTEROL_HOMEOSTASIS__2",0.222112822834877,0.001,0.001,0.001,4218
"SVP_MATCH__HALLMARK_COAGULATION__1",0.232658693686451,0.001,0.001,0.001,4218
"SVP_MATCH__HALLMARK_COAGULATION__2",0.284363997551106,0.001,0.001,0.001,4218
"SVP_MATCH__HALLMARK_COMPLEMENT__1",0.294780302188918,0.001,0.001,0.001,4218
"SVP_MATCH__HALLMARK_COMPLEMENT__2",0.327174530383304,0.001,0.001,0.001,4218
"SVP_MATCH__HALLMARK_DNA_REPAIR__1",0.331020648430138,0.001,0.001,0.001,4218
"SVP_MATCH__HALLMARK_DNA_REPAIR__2",0.294242870964834,0.001,0.001,0.001,4218
"SVP_MATCH__HALLMARK_E2F_TARGETS__1",0.249904819958597,0.001,0.001,0.001,4218
"SVP_MATCH__HALLMARK_E2F_TARGETS__2",0.222369104925438,0.001,0.001,0.001,4218
"SVP_MATCH__HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION__1",0.304617214774074,0.001,0.001,0.001,4218
"SVP_MATCH__HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION__2",0.311171061267854,0.001,0.001,0.001,4218
"SVP_MATCH__HALLMARK_ESTROGEN_RESPONSE_EARLY__1",0.336537489508678,0.001,0.001,0.001,4218
"SVP_MATCH__HALLMARK_ESTROGEN_RESPONSE_EARLY__2",0.262409248261838,0.001,0.001,0.001,4218
