"pathway","stat","p_perm","p_adj_BH","p_adj_wy","n_spots"
"HALLMARK_ADIPOGENESIS",0.0199990119445149,0.015,0.173076923076923,0.815,4218
"HALLMARK_ALLOGRAFT_REJECTION",0.0388296036904298,0.001,0.03,0.004,4218
"HALLMARK_ANDROGEN_RESPONSE",-0.00393266090236466,0.69,0.896370967741935,1,4218
"HALLMARK_ANGIOGENESIS",0.00811039863303858,0.174,0.613636363636364,1,4218
"HALLMARK_APICAL_JUNCTION",0.0225059289147933,0.006,0.1125,0.553,4218
"HALLMARK_APICAL_SURFACE",-0.000874711371602002,0.543,0.831122448979592,1,4218
"HALLMARK_APOPTOSIS",0.00724116780303164,0.181,0.613636363636364,1,4218
"HALLMARK_BILE_ACID_METABOLISM",-0.0047851746856172,0.699,0.896370967741935,1,4218
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.0185606714942294,0.017,0.182142857142857,0.928,4218
"HALLMARK_COAGULATION",0.0165061932768018,0.032,0.24,0.988,4218
"HALLMARK_COMPLEMENT",0.0227833788331922,0.004,0.0857142857142857,0.523,4218
"HALLMARK_DNA_REPAIR",0.00518173431996769,0.265,0.6625,1,4218
"HALLMARK_E2F_TARGETS",0.00457959431418603,0.274,0.662903225806452,1,4218
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.0527112580740506,0.001,0.03,0.001,4218
"HALLMARK_ESTROGEN_RESPONSE_EARLY",0.00879552280510434,0.158,0.613636363636364,1,4218
"HALLMARK_ESTROGEN_RESPONSE_LATE",0.00946905143447233,0.123,0.559090909090909,1,4218
"HALLMARK_FATTY_ACID_METABOLISM",0.0310746230757849,0.001,0.03,0.032,4218
"HALLMARK_G2M_CHECKPOINT",0.0101642783916225,0.119,0.5578125,1,4218
"HALLMARK_GLYCOLYSIS",-0.0141806314560492,0.944,0.956756756756757,1,4218
"HALLMARK_HEDGEHOG_SIGNALING",-0.00538976430328877,0.721,0.896370967741935,1,4218
"HALLMARK_HEME_METABOLISM",-0.0126849771628806,0.935,0.956756756756757,1,4218
"HALLMARK_HYPOXIA",0.00793133302447267,0.172,0.613636363636364,1,4218
"HALLMARK_IL2_STAT5_SIGNALING",0.015717919434214,0.037,0.241304347826087,0.996,4218
"HALLMARK_IL6_JAK_STAT3_SIGNALING",0.000443357984310524,0.504,0.820967741935484,1,4218
"HALLMARK_INFLAMMATORY_RESPONSE",0.00404093356971452,0.307,0.687313432835821,1,4218
"HALLMARK_INTERFERON_ALPHA_RESPONSE",0.03142447906404,0.001,0.03,0.028,4218
"HALLMARK_INTERFERON_GAMMA_RESPONSE",0.0353777621245694,0.001,0.03,0.009,4218
"HALLMARK_KRAS_SIGNALING_DN",-0.00145004509516775,0.57,0.838834951456311,1,4218
"HALLMARK_KRAS_SIGNALING_UP",0.000356022628501256,0.48,0.820967741935484,1,4218
"HALLMARK_MITOTIC_SPINDLE",-0.00570564079443681,0.707,0.896370967741935,1,4218
"HALLMARK_MTORC1_SIGNALING",0.00756181491720982,0.178,0.613636363636364,1,4218
"HALLMARK_MYC_TARGETS_V1",0.00530191169573346,0.247,0.633050847457627,1,4218
"HALLMARK_MYC_TARGETS_V2",0.00490679595831755,0.289,0.669230769230769,1,4218
"HALLMARK_MYOGENESIS",0.0169680116205174,0.025,0.220588235294118,0.976,4218
"HALLMARK_NOTCH_SIGNALING",-0.00158716213477878,0.574,0.838834951456311,1,4218
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",0.0213929464679477,0.01,0.15,0.672,4218
"HALLMARK_P53_PATHWAY",0.0260939073516067,0.003,0.075,0.228,4218
"HALLMARK_PANCREAS_BETA_CELLS",-0.00606492826566759,0.741,0.896370967741935,1,4218
"HALLMARK_PEROXISOME",0.00658910802682256,0.224,0.613636363636364,1,4218
"HALLMARK_PI3K_AKT_MTOR_SIGNALING",-0.00828063845295247,0.831,0.925899280575539,1,4218
"HALLMARK_PROTEIN_SECRETION",-0.00497258347959492,0.715,0.896370967741935,1,4218
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",0.00874682452451495,0.167,0.613636363636364,1,4218
"HALLMARK_SPERMATOGENESIS",0.00107865576753887,0.471,0.820967741935484,1,4218
"HALLMARK_TGF_BETA_SIGNALING",0.015966172133772,0.042,0.258,0.996,4218
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.0169747648035795,0.028,0.233333333333333,0.976,4218
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE",0.0151464195132223,0.046,0.265384615384615,0.998,4218
"HALLMARK_UV_RESPONSE_DN",0.00714036838937749,0.215,0.613636363636364,1,4218
"HALLMARK_UV_RESPONSE_UP",-0.00577208408558985,0.722,0.896370967741935,1,4218
"HALLMARK_WNT_BETA_CATENIN_SIGNALING",0.0175853418582429,0.032,0.24,0.957,4218
"HALLMARK_XENOBIOTIC_METABOLISM",0.00988604180322042,0.137,0.575675675675676,1,4218
"SVP_MATCH__HALLMARK_ADIPOGENESIS__1",0.00866493106126902,0.142,0.575675675675676,1,4218
"SVP_MATCH__HALLMARK_ADIPOGENESIS__2",0.0054927415492442,0.274,0.662903225806452,1,4218
"SVP_MATCH__HALLMARK_ALLOGRAFT_REJECTION__1",-0.00249207847923426,0.617,0.87311320754717,1,4218
"SVP_MATCH__HALLMARK_ALLOGRAFT_REJECTION__2",0.00226787999529731,0.408,0.766875,1,4218
"SVP_MATCH__HALLMARK_ANDROGEN_RESPONSE__1",0.0169628708260367,0.025,0.220588235294118,0.976,4218
"SVP_MATCH__HALLMARK_ANDROGEN_RESPONSE__2",0.00589987716918817,0.217,0.613636363636364,1,4218
"SVP_MATCH__HALLMARK_ANGIOGENESIS__1",-0.0130025909581619,0.92,0.951724137931035,1,4218
"SVP_MATCH__HALLMARK_ANGIOGENESIS__2",-0.0134020934914315,0.942,0.956756756756757,1,4218
"SVP_MATCH__HALLMARK_APICAL_JUNCTION__1",-0.00256920511384072,0.611,0.87311320754717,1,4218
"SVP_MATCH__HALLMARK_APICAL_JUNCTION__2",-0.00848548673090036,0.815,0.925899280575539,1,4218
"SVP_MATCH__HALLMARK_APICAL_SURFACE__1",0.00112220793804128,0.42,0.768072289156627,1,4218
"SVP_MATCH__HALLMARK_APICAL_SURFACE__2",0.00357323999285734,0.337,0.711971830985916,1,4218
"SVP_MATCH__HALLMARK_APOPTOSIS__1",-0.000284611408473955,0.505,0.820967741935484,1,4218
"SVP_MATCH__HALLMARK_APOPTOSIS__2",0.0201133626146022,0.01,0.15,0.807,4218
"SVP_MATCH__HALLMARK_BILE_ACID_METABOLISM__1",0.00808379661454904,0.192,0.613636363636364,1,4218
"SVP_MATCH__HALLMARK_BILE_ACID_METABOLISM__2",-0.00656684559397344,0.755,0.896511627906977,1,4218
"SVP_MATCH__HALLMARK_CHOLESTEROL_HOMEOSTASIS__1",0.00194797983378408,0.409,0.766875,1,4218
"SVP_MATCH__HALLMARK_CHOLESTEROL_HOMEOSTASIS__2",-0.0124159380140772,0.916,0.951724137931035,1,4218
"SVP_MATCH__HALLMARK_COAGULATION__1",-0.0070467513924764,0.771,0.896511627906977,1,4218
"SVP_MATCH__HALLMARK_COAGULATION__2",-0.00386447859706538,0.647,0.896370967741935,1,4218
"SVP_MATCH__HALLMARK_COMPLEMENT__1",0.0018759283994962,0.39,0.75974025974026,1,4218
"SVP_MATCH__HALLMARK_COMPLEMENT__2",0.00318207460790705,0.357,0.72972972972973,1,4218
"SVP_MATCH__HALLMARK_DNA_REPAIR__1",-0.00120871507928046,0.559,0.838834951456311,1,4218
"SVP_MATCH__HALLMARK_DNA_REPAIR__2",-0.010718748629675,0.867,0.928928571428571,1,4218
"SVP_MATCH__HALLMARK_E2F_TARGETS__1",0.0126576430330836,0.054,0.3,1,4218
"SVP_MATCH__HALLMARK_E2F_TARGETS__2",-0.00576169386891172,0.719,0.896370967741935,1,4218
"SVP_MATCH__HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION__1",0.00590023624697099,0.249,0.633050847457627,1,4218
"SVP_MATCH__HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION__2",0.0182927667397435,0.019,0.19,0.938,4218
"SVP_MATCH__HALLMARK_ESTROGEN_RESPONSE_EARLY__1",0.00722628856604876,0.195,0.613636363636364,1,4218
"SVP_MATCH__HALLMARK_ESTROGEN_RESPONSE_EARLY__2",0.00417450355543521,0.313,0.690441176470588,1,4218
"SVP_MATCH__HALLMARK_ESTROGEN_RESPONSE_LATE__1",-0.0114914702374668,0.894,0.949647887323944,1,4218
"SVP_MATCH__HALLMARK_ESTROGEN_RESPONSE_LATE__2",0.0187813804357992,0.012,0.163636363636364,0.918,4218
"SVP_MATCH__HALLMARK_FATTY_ACID_METABOLISM__1",0.00673386706835288,0.225,0.613636363636364,1,4218
"SVP_MATCH__HALLMARK_FATTY_ACID_METABOLISM__2",0.012560358547634,0.077,0.4125,1,4218
"SVP_MATCH__HALLMARK_G2M_CHECKPOINT__1",0.0205130842377212,0.014,0.173076923076923,0.765,4218
"SVP_MATCH__HALLMARK_G2M_CHECKPOINT__2",-0.00889087390718835,0.842,0.925899280575539,1,4218
"SVP_MATCH__HALLMARK_GLYCOLYSIS__1",-0.00607929504964032,0.762,0.896511627906977,1,4218
"SVP_MATCH__HALLMARK_GLYCOLYSIS__2",0.000534650757390339,0.489,0.820967741935484,1,4218
"SVP_MATCH__HALLMARK_HEDGEHOG_SIGNALING__1",-0.00228756874655898,0.615,0.87311320754717,1,4218
"SVP_MATCH__HALLMARK_HEDGEHOG_SIGNALING__2",0.00175452812862917,0.415,0.768072289156627,1,4218
"SVP_MATCH__HALLMARK_HEME_METABOLISM__1",0.0158340009155025,0.036,0.241304347826087,0.996,4218
"SVP_MATCH__HALLMARK_HEME_METABOLISM__2",0.00213867170155313,0.406,0.766875,1,4218
"SVP_MATCH__HALLMARK_HYPOXIA__1",0.0155461034589052,0.036,0.241304347826087,0.997,4218
"SVP_MATCH__HALLMARK_HYPOXIA__2",0.00478078806123502,0.29,0.669230769230769,1,4218
"SVP_MATCH__HALLMARK_IL2_STAT5_SIGNALING__1",0.00988778689236715,0.128,0.564705882352941,1,4218
"SVP_MATCH__HALLMARK_IL2_STAT5_SIGNALING__2",-0.00628150530331325,0.741,0.896370967741935,1,4218
"SVP_MATCH__HALLMARK_IL6_JAK_STAT3_SIGNALING__1",-0.0148323386455393,0.953,0.959395973154362,1,4218
"SVP_MATCH__HALLMARK_IL6_JAK_STAT3_SIGNALING__2",-0.000884468319046726,0.524,0.821875,1,4218
"SVP_MATCH__HALLMARK_INFLAMMATORY_RESPONSE__1",0.00448561111566399,0.29,0.669230769230769,1,4218
"SVP_MATCH__HALLMARK_INFLAMMATORY_RESPONSE__2",0.00128137581211414,0.388,0.75974025974026,1,4218
"SVP_MATCH__HALLMARK_INTERFERON_ALPHA_RESPONSE__1",0.00261207733804345,0.36,0.72972972972973,1,4218
"SVP_MATCH__HALLMARK_INTERFERON_ALPHA_RESPONSE__2",-0.0119279015140626,0.92,0.951724137931035,1,4218
"SVP_MATCH__HALLMARK_INTERFERON_GAMMA_RESPONSE__1",0.00266948592542983,0.387,0.75974025974026,1,4218
"SVP_MATCH__HALLMARK_INTERFERON_GAMMA_RESPONSE__2",0.0034154492889973,0.324,0.694285714285714,1,4218
"SVP_MATCH__HALLMARK_KRAS_SIGNALING_DN__1",-0.00899518184460055,0.829,0.925899280575539,1,4218
"SVP_MATCH__HALLMARK_KRAS_SIGNALING_DN__2",0.00397729496467205,0.321,0.694285714285714,1,4218
"SVP_MATCH__HALLMARK_KRAS_SIGNALING_UP__1",-0.00445890662025718,0.69,0.896370967741935,1,4218
"SVP_MATCH__HALLMARK_KRAS_SIGNALING_UP__2",-0.00377898138493809,0.647,0.896370967741935,1,4218
"SVP_MATCH__HALLMARK_MITOTIC_SPINDLE__1",0.00546964374287111,0.241,0.633050847457627,1,4218
"SVP_MATCH__HALLMARK_MITOTIC_SPINDLE__2",-0.00729977352739982,0.8,0.917175572519084,1,4218
"SVP_MATCH__HALLMARK_MTORC1_SIGNALING__1",-0.00202505011560975,0.575,0.838834951456311,1,4218
"SVP_MATCH__HALLMARK_MTORC1_SIGNALING__2",0.00558080691890143,0.242,0.633050847457627,1,4218
"SVP_MATCH__HALLMARK_MYC_TARGETS_V1__1",-0.00659097631871553,0.763,0.896511627906977,1,4218
