"pathway","stat","stat_matched_med","stat_matched_mad","z_matched","n_matched","p_matched","p_adj_BH","n_spots"
"HALLMARK_ADIPOGENESIS",0.0199990119445149,0.00167598185493342,0.00915480734659178,2.0014653936331,1999,0.022,0.122222222222222,4218
"HALLMARK_ALLOGRAFT_REJECTION",0.0388296036904298,0.000762343143688393,0.00888930323856526,4.28236719179415,1999,5e-04,0.00833333333333333,4218
"HALLMARK_ANDROGEN_RESPONSE",-0.00393266090236466,0.000568498259961097,0.00877377703396083,-0.513024110927715,1999,0.6925,0.838953488372093,4218
"HALLMARK_ANGIOGENESIS",0.00811039863303858,-0.000114320995852109,0.00924762924320965,0.889386826891869,1999,0.197,0.428260869565217,4218
"HALLMARK_APICAL_JUNCTION",0.0225059289147933,0.00172443531152299,0.00903666802837563,2.29968540816319,1999,0.0155,0.096875,4218
"HALLMARK_APICAL_SURFACE",-0.000874711371602002,0.000103090460417576,0.00874674746729896,-0.111790335284657,1999,0.5495,0.723717948717949,4218
"HALLMARK_APOPTOSIS",0.00724116780303164,0.0015395423158853,0.00845319755312748,0.674493344241893,1999,0.2485,0.471551724137931,4218
"HALLMARK_BILE_ACID_METABOLISM",-0.0047851746856172,0.000415702820048083,0.00928732586243415,-0.559997310603912,1999,0.7215,0.838953488372093,4218
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.0185606714942294,0.000667325730898905,0.00876317397662926,2.04187955312204,1999,0.0265,0.1325,4218
"HALLMARK_COAGULATION",0.0165061932768018,0.000820533760769797,0.00881093633952478,1.78024887612319,1999,0.042,0.1546875,4218
"HALLMARK_COMPLEMENT",0.0227833788331922,0.00142186542775895,0.00862711155807831,2.47609101396523,1999,0.007,0.05,4218
"HALLMARK_DNA_REPAIR",0.00518173431996769,0.00178316096398264,0.00915900713279078,0.371063512312113,1999,0.3465,0.558870967741935,4218
"HALLMARK_E2F_TARGETS",0.00457959431418603,0.0019138525580045,0.00912995193018087,0.291977633241353,1999,0.38,0.572794117647059,4218
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.0527112580740506,0.00145117739086785,0.00901598027085321,5.68546948232528,1999,5e-04,0.00833333333333333,4218
"HALLMARK_ESTROGEN_RESPONSE_EARLY",0.00879552280510434,0.00189423837692678,0.00880195667555001,0.784062530931092,1999,0.224,0.466666666666667,4218
"HALLMARK_ESTROGEN_RESPONSE_LATE",0.00946905143447233,0.0017021865757839,0.00877341484383468,0.885272724125934,1999,0.184,0.428260869565217,4218
"HALLMARK_FATTY_ACID_METABOLISM",0.0310746230757849,0.00168255946399314,0.00874794712824468,3.35988125910055,1999,0.001,0.01,4218
"HALLMARK_G2M_CHECKPOINT",0.0101642783916225,0.00139702574659036,0.00881589208829903,0.994482754237491,1999,0.153,0.402631578947368,4218
"HALLMARK_GLYCOLYSIS",-0.0141806314560492,0.00218352376249559,0.00914591276792576,-1.78923149977255,1999,0.9655,0.9655,4218
"HALLMARK_HEDGEHOG_SIGNALING",-0.00538976430328877,9.45788951548359e-05,0.00920807862881644,-0.595601256192633,1999,0.7215,0.838953488372093,4218
"HALLMARK_HEME_METABOLISM",-0.0126849771628806,0.00163505299661393,0.00909770055840344,-1.57402742237623,1999,0.9395,0.958673469387755,4218
"HALLMARK_HYPOXIA",0.00793133302447267,0.00180955126489157,0.00902475680561646,0.678332047216085,1999,0.2465,0.471551724137931,4218
"HALLMARK_IL2_STAT5_SIGNALING",0.015717919434214,0.00109678391199488,0.00878295327352905,1.66471744376527,1999,0.063,0.175,4218
"HALLMARK_IL6_JAK_STAT3_SIGNALING",0.000443357984310524,-0.000237519357217766,0.00870928500968965,0.0781783281602072,1999,0.4615,0.659285714285714,4218
"HALLMARK_INFLAMMATORY_RESPONSE",0.00404093356971452,0.00072501960632191,0.00868507223861353,0.381794632478723,1999,0.36,0.5625,4218
"HALLMARK_INTERFERON_ALPHA_RESPONSE",0.03142447906404,0.000683193775079287,0.00939189390133262,3.27317212182293,1999,5e-04,0.00833333333333333,4218
"HALLMARK_INTERFERON_GAMMA_RESPONSE",0.0353777621245694,0.00122100730797414,0.00887203834957658,3.84993318003696,1999,0.001,0.01,4218
"HALLMARK_KRAS_SIGNALING_DN",-0.00145004509516775,0.000854673512003896,0.00883690324911818,-0.260806137874332,1999,0.604,0.755,4218
"HALLMARK_KRAS_SIGNALING_UP",0.000356022628501256,0.00171979625440081,0.00878721706247479,-0.155199719797916,1999,0.558,0.723717948717949,4218
"HALLMARK_MITOTIC_SPINDLE",-0.00570564079443681,0.00225535362313691,0.00851727633961987,-0.934687815697785,1999,0.8045,0.855851063829787,4218
"HALLMARK_MTORC1_SIGNALING",0.00756181491720982,0.00169669613108134,0.00913081159918302,0.642343642995904,1999,0.272,0.471551724137931,4218
"HALLMARK_MYC_TARGETS_V1",0.00530191169573346,0.00269303264213792,0.00891254703262912,0.292719807709777,1999,0.3895,0.572794117647059,4218
"HALLMARK_MYC_TARGETS_V2",0.00490679595831755,0.000250532054795977,0.00885867370857798,0.525616368397545,1999,0.311,0.518333333333333,4218
"HALLMARK_MYOGENESIS",0.0169680116205174,0.00189177974095411,0.00878544226058713,1.71604700507767,1999,0.048,0.1546875,4218
"HALLMARK_NOTCH_SIGNALING",-0.00158716213477878,1.33106860143814e-05,0.00903996940793212,-0.1770440527585,1999,0.5645,0.723717948717949,4218
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",0.0213929464679477,0.00397447193155013,0.00939301266273314,1.85440764979541,1999,0.035,0.145833333333333,4218
"HALLMARK_P53_PATHWAY",0.0260939073516067,0.00210486089184017,0.00877971435073906,2.73232653152858,1999,0.005,0.0416666666666667,4218
"HALLMARK_PANCREAS_BETA_CELLS",-0.00606492826566759,0.000378541597477342,0.00887553346563114,-0.725981135454683,1999,0.763,0.847777777777778,4218
"HALLMARK_PEROXISOME",0.00658910802682256,0.000935341826320525,0.00909669880131771,0.621518456748624,1999,0.2735,0.471551724137931,4218
"HALLMARK_PI3K_AKT_MTOR_SIGNALING",-0.00828063845295247,0.001072219274076,0.0091950619682876,-1.01716092390514,1999,0.8455,0.880729166666667,4218
"HALLMARK_PROTEIN_SECRETION",-0.00497258347959492,0.00125877281894051,0.00878035614371777,-0.709692886773605,1999,0.761,0.847777777777778,4218
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",0.00874682452451495,0.000532638363140996,0.00912423255639786,0.900260499784633,1999,0.1905,0.428260869565217,4218
"HALLMARK_SPERMATOGENESIS",0.00107865576753887,0.000359246778015972,0.00898511074793996,0.0800667915738091,1999,0.477,0.6625,4218
"HALLMARK_TGF_BETA_SIGNALING",0.015966172133772,0.000379083063183957,0.00896802082220607,1.73807458519634,1999,0.0495,0.1546875,4218
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.0169747648035795,0.00149188606800954,0.0087780546040127,1.76381663523627,1999,0.0475,0.1546875,4218
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE",0.0151464195132223,0.00114196460391737,0.00852420358051742,1.64290479186971,1999,0.058,0.170588235294118,4218
"HALLMARK_UV_RESPONSE_DN",0.00714036838937749,0.00107447666807763,0.00899659361510769,0.674243161446528,1999,0.259,0.471551724137931,4218
"HALLMARK_UV_RESPONSE_UP",-0.00577208408558985,0.00177328868385519,0.00874289957008384,-0.863028645011952,1999,0.8025,0.855851063829787,4218
