"pathway","stat","stat_matched_med","stat_matched_mad","z_matched","n_matched","p_matched","p_adj_BH","n_spots"
"HALLMARK_ADIPOGENESIS",0.0750784791095611,0.0332603581654665,0.0139823066751765,2.99078842393983,1999,0.0035,0.0109375,3659
"HALLMARK_ALLOGRAFT_REJECTION",0.0692137778457568,0.015319202733545,0.0114177083684176,4.72026201521216,1999,5e-04,0.00277777777777778,3659
"HALLMARK_ANDROGEN_RESPONSE",0.0748068447861578,0.0186846181225143,0.0115373934544032,4.8643765929838,1999,0.001,0.00384615384615385,3659
"HALLMARK_ANGIOGENESIS",0.0610039755729166,0.00784556122738505,0.010740279265952,4.94944433279776,1999,0.001,0.00384615384615385,3659
"HALLMARK_APICAL_JUNCTION",0.0471758041276723,0.0267394748947609,0.0121880147906446,1.67675618908817,1999,0.0655,0.116964285714286,3659
"HALLMARK_APICAL_SURFACE",-0.00295513286435569,0.00698889725033159,0.0103695350101829,-0.958965865385696,1999,0.8505,0.877040816326531,3659
"HALLMARK_APOPTOSIS",0.0633482356139366,0.0213399647736683,0.0117475774329695,3.57590925277685,1999,0.002,0.00666666666666667,3659
"HALLMARK_BILE_ACID_METABOLISM",0.0208808107682852,0.0147775905151806,0.0114882665544285,0.531256845772958,1999,0.294,0.376923076923077,3659
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.0398421030193872,0.013911314470837,0.011269978361528,2.30087296680794,1999,0.023,0.05,3659
"HALLMARK_COAGULATION",0.0917819169437032,0.0148633508096343,0.0114393909775588,6.72400884670901,1999,5e-04,0.00277777777777778,3659
"HALLMARK_COMPLEMENT",0.0526363523240533,0.023582028115004,0.0117281524798367,2.47731467159897,1999,0.0095,0.025,3659
"HALLMARK_DNA_REPAIR",0.0225481731057262,0.0250651673975007,0.0121193259282139,-0.2076843470242,1999,0.5935,0.659444444444444,3659
"HALLMARK_E2F_TARGETS",0.0299182369382876,0.0261771709396079,0.0123484074152153,0.302959391675895,1999,0.3725,0.454268292682927,3659
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.172816080417536,0.0235927166184323,0.0123474733345044,12.0853359838492,1999,5e-04,0.00277777777777778,3659
"HALLMARK_ESTROGEN_RESPONSE_EARLY",0.158953121099559,0.0272150492061091,0.0125563647633578,10.491736611371,1999,5e-04,0.00277777777777778,3659
"HALLMARK_ESTROGEN_RESPONSE_LATE",0.101607457134048,0.0243705573876967,0.0125689651310839,6.14504845393666,1999,5e-04,0.00277777777777778,3659
"HALLMARK_FATTY_ACID_METABOLISM",0.0555631944873532,0.0260774919888825,0.0131978961601554,2.23412141910075,1999,0.0115,0.0273809523809524,3659
"HALLMARK_G2M_CHECKPOINT",0.0382457817717529,0.0261814356509863,0.0116788935555018,1.03300420227593,1999,0.15,0.234375,3659
"HALLMARK_GLYCOLYSIS",0.0574624556308266,0.0266599337093606,0.0127033691092008,2.4247521784718,1999,0.0105,0.02625,3659
"HALLMARK_HEDGEHOG_SIGNALING",0.020464416540176,0.00926335063245276,0.0110817933125735,1.01076293265769,1999,0.1615,0.24469696969697,3659
"HALLMARK_HEME_METABOLISM",0.0383470705018167,0.0301741060044105,0.0129791598180033,0.629699041541165,1999,0.2705,0.355921052631579,3659
"HALLMARK_HYPOXIA",0.0589576697945898,0.026569385495015,0.0132878242003162,2.4374407586461,1999,0.0075,0.0220588235294118,3659
"HALLMARK_IL2_STAT5_SIGNALING",0.0420648318662605,0.022774715922246,0.0120297460936278,1.60353475409033,1999,0.0745,0.128448275862069,3659
"HALLMARK_IL6_JAK_STAT3_SIGNALING",0.0333051791770931,0.00915830044170339,0.0104302284976917,2.31508626495896,1999,0.018,0.0409090909090909,3659
"HALLMARK_INFLAMMATORY_RESPONSE",0.0256980171753189,0.0170005628589489,0.011357401074184,0.765796176392836,1999,0.232,0.331428571428571,3659
"HALLMARK_INTERFERON_ALPHA_RESPONSE",0.117276982504428,0.0114524001063121,0.0110058213873977,9.61532798626831,1999,5e-04,0.00277777777777778,3659
"HALLMARK_INTERFERON_GAMMA_RESPONSE",0.129453656286745,0.0219299192489893,0.0118896329205318,9.04348668763997,1999,5e-04,0.00277777777777778,3659
"HALLMARK_KRAS_SIGNALING_DN",0.0100265192684092,0.0163017781621722,0.0110069179106767,-0.570119532523813,1999,0.715,0.771808510638298,3659
"HALLMARK_KRAS_SIGNALING_UP",0.0422792164640853,0.0212617763693814,0.0120872535331178,1.73881022989369,1999,0.0495,0.0951923076923077,3659
"HALLMARK_MITOTIC_SPINDLE",0.0602940814235946,0.0282182200113041,0.0125156909310214,2.56285183048004,1999,0.008,0.0222222222222222,3659
"HALLMARK_MTORC1_SIGNALING",0.0509287732380372,0.0322540885041546,0.0134041059665279,1.39320628921587,1999,0.088,0.141935483870968,3659
"HALLMARK_MYC_TARGETS_V1",0.0665864711464228,0.0410006217994611,0.0144732764380132,1.76779939611752,1999,0.04,0.08,3659
"HALLMARK_MYC_TARGETS_V2",0.0356422020985372,0.0115491595914803,0.0116408807137801,2.06969241412605,1999,0.028,0.0583333333333333,3659
"HALLMARK_MYOGENESIS",0.0748934875383225,0.0248507051812056,0.0120969776389867,4.13680043483232,1999,0.001,0.00384615384615385,3659
"HALLMARK_NOTCH_SIGNALING",-0.00396647868608394,0.00703414795290165,0.0104113571634206,-1.05659871871799,1999,0.8595,0.877040816326531,3659
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",0.134634105626077,0.0535497667417281,0.0173377607708898,4.67674805044548,1999,5e-04,0.00277777777777778,3659
"HALLMARK_P53_PATHWAY",0.070363556931596,0.027547101301196,0.0120330462534551,3.5582390966133,1999,0.0015,0.00535714285714286,3659
"HALLMARK_PANCREAS_BETA_CELLS",0.00862357215966776,0.00857573208953151,0.0107929161352567,0.00443254348840601,1999,0.4975,0.578488372093023,3659
"HALLMARK_PEROXISOME",0.0280307946067552,0.0176678794290735,0.0118018213575114,0.878077617323538,1999,0.189,0.277941176470588,3659
"HALLMARK_PI3K_AKT_MTOR_SIGNALING",0.0109343277781803,0.0177217118810375,0.011765610396509,-0.576883295818729,1999,0.7255,0.771808510638298,3659
"HALLMARK_PROTEIN_SECRETION",0.0181233597058877,0.0208121382457797,0.0123577585957671,-0.217578173182072,1999,0.5795,0.658522727272727,3659
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",0.0225621570079898,0.0139038266164658,0.0120634443439477,0.717732858432585,1999,0.2395,0.332638888888889,3659
"HALLMARK_SPERMATOGENESIS",0.000270320790540694,0.014124412100801,0.0112303570862317,-1.23362874429392,1999,0.8955,0.8955,3659
"HALLMARK_TGF_BETA_SIGNALING",0.0127413744537893,0.0118952336382586,0.0114544322863692,0.0738701660961043,1999,0.4735,0.563690476190476,3659
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.0702051552295555,0.0253164117008108,0.011596513007455,3.87088286796964,1999,5e-04,0.00277777777777778,3659
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE",0.0413375597864132,0.0203430804697168,0.0118182307848356,1.77644858176532,1999,0.055,0.101851851851852,3659
"HALLMARK_UV_RESPONSE_DN",0.0434180080727926,0.0256519422479437,0.0119734452902039,1.48378895081971,1999,0.0775,0.129166666666667,3659
"HALLMARK_UV_RESPONSE_UP",0.0288697382597011,0.0246638999252151,0.0122947820649205,0.342083195316334,1999,0.3585,0.448125,3659
"HALLMARK_WNT_BETA_CATENIN_SIGNALING",0.0147293207428231,0.00800168656994153,0.0103395579586455,0.650669419310738,1999,0.259,0.35,3659
"HALLMARK_XENOBIOTIC_METABOLISM",0.0738097600706126,0.0232758150143613,0.0119779508079728,4.21891405853953,1999,0.001,0.00384615384615385,3659
