"pathway","stat","p_perm","p_adj_BH","p_adj_wy","n_spots"
"HALLMARK_ADIPOGENESIS",0.0590345694740145,0.001,0.00154639175257732,0.001,3636
"HALLMARK_ALLOGRAFT_REJECTION",0.0980671254993655,0.001,0.00154639175257732,0.001,3636
"HALLMARK_ANDROGEN_RESPONSE",0.169848203870687,0.001,0.00154639175257732,0.001,3636
"HALLMARK_ANGIOGENESIS",0.0775823358386091,0.001,0.00154639175257732,0.001,3636
"HALLMARK_APICAL_JUNCTION",0.106132002219327,0.001,0.00154639175257732,0.001,3636
"HALLMARK_APICAL_SURFACE",0.011779781462587,0.111,0.125187969924812,1,3636
"HALLMARK_APOPTOSIS",0.120015979968067,0.001,0.00154639175257732,0.001,3636
"HALLMARK_BILE_ACID_METABOLISM",0.114234238922006,0.001,0.00154639175257732,0.001,3636
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.139216583866095,0.001,0.00154639175257732,0.001,3636
"HALLMARK_COAGULATION",0.234188100403838,0.001,0.00154639175257732,0.001,3636
"HALLMARK_COMPLEMENT",0.134289932155271,0.001,0.00154639175257732,0.001,3636
"HALLMARK_DNA_REPAIR",0.0453598467278249,0.001,0.00154639175257732,0.001,3636
"HALLMARK_E2F_TARGETS",0.0817437150571015,0.001,0.00154639175257732,0.001,3636
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.255190005915784,0.001,0.00154639175257732,0.001,3636
"HALLMARK_ESTROGEN_RESPONSE_EARLY",0.19794831242813,0.001,0.00154639175257732,0.001,3636
"HALLMARK_ESTROGEN_RESPONSE_LATE",0.161328395133832,0.001,0.00154639175257732,0.001,3636
"HALLMARK_FATTY_ACID_METABOLISM",0.0579568853228467,0.001,0.00154639175257732,0.001,3636
"HALLMARK_G2M_CHECKPOINT",0.100290992816335,0.001,0.00154639175257732,0.001,3636
"HALLMARK_GLYCOLYSIS",0.0406572317672092,0.001,0.00154639175257732,0.003,3636
"HALLMARK_HEDGEHOG_SIGNALING",0.103657854035842,0.001,0.00154639175257732,0.001,3636
"HALLMARK_HEME_METABOLISM",0.038582521933826,0.001,0.00154639175257732,0.008,3636
"HALLMARK_HYPOXIA",0.0441410724464163,0.001,0.00154639175257732,0.001,3636
"HALLMARK_IL2_STAT5_SIGNALING",0.196747678459703,0.001,0.00154639175257732,0.001,3636
"HALLMARK_IL6_JAK_STAT3_SIGNALING",0.0911590308151305,0.001,0.00154639175257732,0.001,3636
"HALLMARK_INFLAMMATORY_RESPONSE",0.141146250830889,0.001,0.00154639175257732,0.001,3636
"HALLMARK_INTERFERON_ALPHA_RESPONSE",0.260269123159204,0.001,0.00154639175257732,0.001,3636
"HALLMARK_INTERFERON_GAMMA_RESPONSE",0.23719294821488,0.001,0.00154639175257732,0.001,3636
"HALLMARK_KRAS_SIGNALING_DN",0.0384174443042385,0.001,0.00154639175257732,0.008,3636
"HALLMARK_KRAS_SIGNALING_UP",0.0186325471745971,0.032,0.0384,0.974,3636
"HALLMARK_MITOTIC_SPINDLE",0.146338964844094,0.001,0.00154639175257732,0.001,3636
"HALLMARK_MTORC1_SIGNALING",0.0813263546669729,0.001,0.00154639175257732,0.001,3636
"HALLMARK_MYC_TARGETS_V1",0.173947364232782,0.001,0.00154639175257732,0.001,3636
"HALLMARK_MYC_TARGETS_V2",0.0323535097381926,0.002,0.0029126213592233,0.062,3636
"HALLMARK_MYOGENESIS",0.136755630601567,0.001,0.00154639175257732,0.001,3636
"HALLMARK_NOTCH_SIGNALING",0.012278847764254,0.088,0.101538461538462,1,3636
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",0.352950046890198,0.001,0.00154639175257732,0.001,3636
"HALLMARK_P53_PATHWAY",0.153592783639868,0.001,0.00154639175257732,0.001,3636
"HALLMARK_PANCREAS_BETA_CELLS",0.0610286209141085,0.001,0.00154639175257732,0.001,3636
"HALLMARK_PEROXISOME",0.0315656929664002,0.001,0.00154639175257732,0.075,3636
"HALLMARK_PI3K_AKT_MTOR_SIGNALING",0.097765442414111,0.001,0.00154639175257732,0.001,3636
"HALLMARK_PROTEIN_SECRETION",0.0563902782026106,0.001,0.00154639175257732,0.001,3636
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",0.0494006204322921,0.001,0.00154639175257732,0.001,3636
"HALLMARK_SPERMATOGENESIS",0.0134014075999069,0.067,0.078515625,1,3636
"HALLMARK_TGF_BETA_SIGNALING",0.0562498335794643,0.001,0.00154639175257732,0.001,3636
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.0996949565805915,0.001,0.00154639175257732,0.001,3636
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE",0.0451354726338876,0.001,0.00154639175257732,0.001,3636
"HALLMARK_UV_RESPONSE_DN",0.0546795879834217,0.001,0.00154639175257732,0.001,3636
"HALLMARK_UV_RESPONSE_UP",0.0360760049080721,0.001,0.00154639175257732,0.021,3636
"HALLMARK_WNT_BETA_CATENIN_SIGNALING",0.0427898004549477,0.001,0.00154639175257732,0.001,3636
"HALLMARK_XENOBIOTIC_METABOLISM",0.124301703753923,0.001,0.00154639175257732,0.001,3636
"SVP_MATCH__HALLMARK_ADIPOGENESIS__1",0.0432569914250887,0.001,0.00154639175257732,0.001,3636
"SVP_MATCH__HALLMARK_ADIPOGENESIS__2",0.0604456380163565,0.001,0.00154639175257732,0.001,3636
"SVP_MATCH__HALLMARK_ALLOGRAFT_REJECTION__1",0.0963416451031518,0.001,0.00154639175257732,0.001,3636
"SVP_MATCH__HALLMARK_ALLOGRAFT_REJECTION__2",0.00942713466200472,0.17,0.184782608695652,1,3636
"SVP_MATCH__HALLMARK_ANDROGEN_RESPONSE__1",0.0563294927755792,0.001,0.00154639175257732,0.001,3636
"SVP_MATCH__HALLMARK_ANDROGEN_RESPONSE__2",0.0457800651103476,0.001,0.00154639175257732,0.001,3636
"SVP_MATCH__HALLMARK_ANGIOGENESIS__1",0.0127850716096953,0.074,0.086046511627907,1,3636
"SVP_MATCH__HALLMARK_ANGIOGENESIS__2",0.0359458777502875,0.001,0.00154639175257732,0.023,3636
"SVP_MATCH__HALLMARK_APICAL_JUNCTION__1",0.0639386770453839,0.001,0.00154639175257732,0.001,3636
"SVP_MATCH__HALLMARK_APICAL_JUNCTION__2",0.0375696575880237,0.001,0.00154639175257732,0.012,3636
"SVP_MATCH__HALLMARK_APICAL_SURFACE__1",0.00897814665899189,0.165,0.180656934306569,1,3636
"SVP_MATCH__HALLMARK_APICAL_SURFACE__2",0.0110606223832057,0.123,0.137686567164179,1,3636
"SVP_MATCH__HALLMARK_APOPTOSIS__1",0.0289302474130318,0.001,0.00154639175257732,0.184,3636
"SVP_MATCH__HALLMARK_APOPTOSIS__2",0.00292487484487817,0.367,0.382291666666667,1,3636
"SVP_MATCH__HALLMARK_BILE_ACID_METABOLISM__1",0.0252928868255793,0.006,0.00825688073394495,0.462,3636
"SVP_MATCH__HALLMARK_BILE_ACID_METABOLISM__2",0.00701735335700178,0.231,0.245744680851064,1,3636
"SVP_MATCH__HALLMARK_CHOLESTEROL_HOMEOSTASIS__1",0.0212205662903145,0.01,0.0130434782608696,0.857,3636
"SVP_MATCH__HALLMARK_CHOLESTEROL_HOMEOSTASIS__2",0.0352675462977568,0.001,0.00154639175257732,0.024,3636
"SVP_MATCH__HALLMARK_COAGULATION__1",0.0123464859359385,0.096,0.109090909090909,1,3636
"SVP_MATCH__HALLMARK_COAGULATION__2",0.00218331582575095,0.397,0.410689655172414,1,3636
"SVP_MATCH__HALLMARK_COMPLEMENT__1",0.0227045420027921,0.006,0.00825688073394495,0.716,3636
"SVP_MATCH__HALLMARK_COMPLEMENT__2",0.044108645423287,0.001,0.00154639175257732,0.001,3636
"SVP_MATCH__HALLMARK_DNA_REPAIR__1",0.0474787496917138,0.001,0.00154639175257732,0.001,3636
"SVP_MATCH__HALLMARK_DNA_REPAIR__2",0.00835344309318707,0.201,0.216906474820144,1,3636
"SVP_MATCH__HALLMARK_E2F_TARGETS__1",0.0187134944559383,0.025,0.0307377049180328,0.968,3636
"SVP_MATCH__HALLMARK_E2F_TARGETS__2",0.0253162224606538,0.004,0.00560747663551402,0.46,3636
