"pathway","stat","stat_matched_med","stat_matched_mad","z_matched","n_matched","p_matched","p_adj_BH","n_spots"
"HALLMARK_ADIPOGENESIS",0.441178431813312,0.396535029464193,0.0202744557330695,2.20195318369517,1999,0.02,0.25,3636
"HALLMARK_ALLOGRAFT_REJECTION",0.135096144998831,0.232962809927842,0.0233749519874082,-4.18681779460898,1999,1,1,3636
"HALLMARK_ANDROGEN_RESPONSE",0.245717903131953,0.301858379072381,0.0253489733918983,-2.21470412519232,1999,0.995,1,3636
"HALLMARK_ANGIOGENESIS",0.10194580787586,0.0914786416900785,0.0195459947672963,0.535514631534369,1999,0.31,1,3636
"HALLMARK_APICAL_JUNCTION",0.288311499350068,0.331366478921199,0.0199873688970062,-2.15410941745213,1999,0.987,1,3636
"HALLMARK_APICAL_SURFACE",0.0623589770127579,0.0963735844314974,0.0191201328625767,-1.77899430214292,1999,0.9755,1,3636
"HALLMARK_APOPTOSIS",0.238304988879588,0.311107921084953,0.0226349662824762,-3.21639234168988,1999,1,1,3636
"HALLMARK_BILE_ACID_METABOLISM",0.212280967531394,0.175637084159574,0.0193889021367352,1.88994111752171,1999,0.0565,0.403571428571429,3636
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.208235075535312,0.245376184840574,0.0265420978784439,-1.39932832270303,1999,0.9405,1,3636
"HALLMARK_COAGULATION",0.247080631917293,0.235609164490597,0.0245888124743402,0.466531982325972,1999,0.3235,1,3636
"HALLMARK_COMPLEMENT",0.239372278344597,0.312987808028107,0.0211864875658545,-3.47464531129516,1999,1,1,3636
"HALLMARK_DNA_REPAIR",0.302522796766907,0.320653959774543,0.0211838274827741,-0.855896462637845,1999,0.8125,1,3636
"HALLMARK_E2F_TARGETS",0.24592266013715,0.26065957216332,0.0172264281018661,-0.855482746569716,1999,0.808,1,3636
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.264213153464743,0.295341179515406,0.02024874913612,-1.53728143113473,1999,0.9575,1,3636
"HALLMARK_ESTROGEN_RESPONSE_EARLY",0.290495603411977,0.309281914666931,0.0189086389989233,-0.993530589696309,1999,0.8585,1,3636
"HALLMARK_ESTROGEN_RESPONSE_LATE",0.278050206500212,0.311157483534156,0.0197339021509213,-1.67768527383715,1999,0.9665,1,3636
"HALLMARK_FATTY_ACID_METABOLISM",0.355750461390597,0.343482245800878,0.0219785580200779,0.55819019512165,1999,0.282,1,3636
"HALLMARK_G2M_CHECKPOINT",0.252062151354528,0.274918993586046,0.0187650293800494,-1.21805523288012,1999,0.8975,1,3636
"HALLMARK_GLYCOLYSIS",0.344947107135043,0.339964225143304,0.0209351126189804,0.238015533158449,1999,0.4065,1,3636
"HALLMARK_HEDGEHOG_SIGNALING",0.2550097657504,0.14644261684076,0.0257852148221909,4.21044190084494,1999,0.0045,0.075,3636
"HALLMARK_HEME_METABOLISM",0.311406465165295,0.351881382134715,0.0202765643485299,-1.99614275247545,1999,0.9895,1,3636
"HALLMARK_HYPOXIA",0.298306452626245,0.335010022398163,0.0200346751916339,-1.83200223716351,1999,0.973,1,3636
"HALLMARK_IL2_STAT5_SIGNALING",0.259523294112567,0.266161547873518,0.0188926696482793,-0.351366635024799,1999,0.643,1,3636
"HALLMARK_IL6_JAK_STAT3_SIGNALING",0.0981039846203448,0.0920956917047434,0.0152757414581488,0.393322506279804,1999,0.357,1,3636
"HALLMARK_INFLAMMATORY_RESPONSE",0.173654111175321,0.188881497460177,0.0181526187566402,-0.838853417735423,1999,0.8105,1,3636
"HALLMARK_INTERFERON_ALPHA_RESPONSE",0.25683255524779,0.152223301569273,0.0192711758935896,5.42827558920857,1999,5e-04,0.0125,3636
"HALLMARK_INTERFERON_GAMMA_RESPONSE",0.231843320451127,0.217123822823745,0.0169238585691752,0.86974832407261,1999,0.216,0.993181818181818,3636
"HALLMARK_KRAS_SIGNALING_DN",0.235634240966032,0.208767262395609,0.0211032773579087,1.27311877272719,1999,0.111,0.616666666666667,3636
"HALLMARK_KRAS_SIGNALING_UP",0.19293930155065,0.254991794695521,0.0185504014723765,-3.34507548191201,1999,0.9995,1,3636
"HALLMARK_MITOTIC_SPINDLE",0.30978526795948,0.364234668129059,0.0208995453229233,-2.60529113568118,1999,0.999,1,3636
"HALLMARK_MTORC1_SIGNALING",0.394549072413038,0.409359188220441,0.0210735830338983,-0.702781097242953,1999,0.778,1,3636
