"method","endpoint","pathway","p_value","q_value","elapsed_seconds","n_genes"
"SPARKX_ACAT","absolute","HALLMARK_ADIPOGENESIS",1.3452173152747e-265,1.3452173152747e-264,16.3368031978607,191
"SPARKX_ACAT","absolute","HALLMARK_ALLOGRAFT_REJECTION",8.62399308747237e-122,1.13473593256215e-121,16.3368031978607,138
"SPARKX_ACAT","absolute","HALLMARK_ANDROGEN_RESPONSE",6.60711072069022e-173,1.83530853352506e-172,16.3368031978607,94
"SPARKX_ACAT","absolute","HALLMARK_ANGIOGENESIS",1.39835529271673e-123,1.94216012877324e-123,16.3368031978607,30
"SPARKX_ACAT","absolute","HALLMARK_APICAL_JUNCTION",6.30265224059605e-193,3.09939038944782e-192,16.3368031978607,171
"SPARKX_ACAT","absolute","HALLMARK_APICAL_SURFACE",1.45041061340761e-123,1.96001434244272e-123,16.3368031978607,31
"SPARKX_ACAT","absolute","HALLMARK_APOPTOSIS",1.02123827599389e-265,1.3452173152747e-264,16.3368031978607,145
"SPARKX_ACAT","absolute","HALLMARK_BILE_ACID_METABOLISM",2.20715841215464e-98,2.56646326994726e-98,16.3368031978607,79
"SPARKX_ACAT","absolute","HALLMARK_CHOLESTEROL_HOMEOSTASIS",4.37714459739367e-179,1.68351715284372e-178,16.3368031978607,70
"SPARKX_ACAT","absolute","HALLMARK_COAGULATION",4.9967686843061e-168,1.31493912744897e-167,16.3368031978607,100
"SPARKX_ACAT","absolute","HALLMARK_COMPLEMENT",1.86964500949684e-136,2.83279546893461e-136,16.3368031978607,166
"SPARKX_ACAT","absolute","HALLMARK_DNA_REPAIR",6.6132696917535e-138,1.06665640189573e-137,16.3368031978607,146
"SPARKX_ACAT","absolute","HALLMARK_E2F_TARGETS",2.48058944329943e-146,5.16789467354049e-146,16.3368031978607,195
"SPARKX_ACAT","absolute","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",1.01538143513823e-149,2.41757484556721e-149,16.3368031978607,191
"SPARKX_ACAT","absolute","HALLMARK_ESTROGEN_RESPONSE_EARLY",1.06738070534736e-235,7.62414789533829e-235,16.3368031978607,179
"SPARKX_ACAT","absolute","HALLMARK_ESTROGEN_RESPONSE_LATE",9.6428551803704e-179,3.41834149510744e-178,16.3368031978607,172
"SPARKX_ACAT","absolute","HALLMARK_FATTY_ACID_METABOLISM",2.13888247212114e-129,3.13176816394198e-129,16.3368031978607,136
"SPARKX_ACAT","absolute","HALLMARK_G2M_CHECKPOINT",2.37882167126664e-146,5.16789467354049e-146,16.3368031978607,187
"SPARKX_ACAT","absolute","HALLMARK_GLYCOLYSIS",9.97566160804467e-178,3.11739425251396e-177,16.3368031978607,180
"SPARKX_ACAT","absolute","HALLMARK_HEDGEHOG_SIGNALING",6.07116371977362e-81,6.4586848082698e-81,16.3368031978607,28
