"pathway","p_value.SPARKX_ACAT","q_value.SPARKX_ACAT","p_value.SPARKX_fgsea","q_value.SPARKX_fgsea","p_value.STpathway_dCov","q_value.STpathway_dCov","p_value.spatialSVP_matched_none","q_value.spatialSVP_matched_none","p_value.spatialSVP_permutation_none","q_value.spatialSVP_permutation_none","p_value.spatialSVP_matched_pcs","q_value.spatialSVP_matched_pcs","p_value.spatialSVP_permutation_pcs","q_value.spatialSVP_permutation_pcs"
"HALLMARK_ADIPOGENESIS",1.3452173152747e-265,1.3452173152747e-264,0.000105473814164166,0.000405668516016023,0.001,0.001,0.966,1,0.001,0.001,0.305,0.411842105263158,0.007,0.0120689655172414
"HALLMARK_ALLOGRAFT_REJECTION",8.62399308747237e-122,1.13473593256215e-121,0.042957042957043,0.0692855531565209,0.001,0.001,1,1,0.001,0.001,0.178,0.26969696969697,0.026,0.0371428571428571
"HALLMARK_ANDROGEN_RESPONSE",6.60711072069022e-173,1.83530853352506e-172,0.000134903237690998,0.00048179727746785,0.001,0.001,0.313,0.771428571428571,0.001,0.001,0.022,0.055,0.001,0.00238095238095238
"HALLMARK_ANGIOGENESIS",1.39835529271673e-123,1.94216012877324e-123,0.00539123635998424,0.0133674250860142,0.001,0.001,0.756,1,0.001,0.001,0.516,0.614285714285714,0.253,0.301190476190476
"HALLMARK_APICAL_JUNCTION",6.30265224059605e-193,3.09939038944782e-192,1.63362914598405e-05,7.42558702720023e-05,0.001,0.001,0.982,1,0.001,0.001,0.151,0.25,0.004,0.00769230769230769
"HALLMARK_APICAL_SURFACE",1.45041061340761e-123,1.96001434244272e-123,0.0559440559440559,0.0874125874125874,0.001,0.001,0.868,1,0.001,0.001,0.418,0.535897435897436,0.268,0.304545454545455
"HALLMARK_APOPTOSIS",1.02123827599389e-265,1.3452173152747e-264,3.31319199650001e-08,4.20670897319078e-07,0.001,0.001,0.855,1,0.001,0.001,0.002,0.00666666666666667,0.001,0.00238095238095238
"HALLMARK_BILE_ACID_METABOLISM",2.20715841215464e-98,2.56646326994726e-98,0.041958041958042,0.0692855531565209,0.001,0.001,0.208,0.547368421052632,0.001,0.001,0.935,0.952,0.859,0.876530612244898
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",4.37714459739367e-179,1.68351715284372e-178,0.00754770160033341,0.0164080469572465,0.001,0.001,0.001,0.01,0.001,0.001,0.001,0.00357142857142857,0.001,0.00238095238095238
"HALLMARK_COAGULATION",4.9967686843061e-168,1.31493912744897e-167,5.36002728948461e-05,0.000223334470395192,0.001,0.001,0.806,1,0.001,0.001,0.003,0.009375,0.001,0.00238095238095238
"HALLMARK_COMPLEMENT",1.86964500949684e-136,2.83279546893461e-136,0.00561431853612597,0.0133674250860142,0.001,0.001,1,1,0.001,0.001,0.001,0.00357142857142857,0.001,0.00238095238095238
"HALLMARK_DNA_REPAIR",6.6132696917535e-138,1.06665640189573e-137,0.038961038961039,0.0692855531565209,0.001,0.001,0.027,0.122727272727273,0.001,0.001,0.501,0.613414634146341,0.086,0.11025641025641
"HALLMARK_E2F_TARGETS",2.48058944329943e-146,5.16789467354049e-146,0.996003996003996,1,0.001,0.001,0.001,0.01,0.001,0.001,0.001,0.00357142857142857,0.001,0.00238095238095238
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",1.01538143513823e-149,2.41757484556721e-149,7.79056486551438e-07,4.32809159195243e-06,0.001,0.001,0.948,1,0.001,0.001,0.001,0.00357142857142857,0.001,0.00238095238095238
"HALLMARK_ESTROGEN_RESPONSE_EARLY",1.06738070534736e-235,7.62414789533829e-235,5.01181599684212e-06,2.50590799842106e-05,0.001,0.001,0.002,0.0166666666666667,0.001,0.001,0.203,0.298529411764706,0.008,0.0133333333333333
"HALLMARK_ESTROGEN_RESPONSE_LATE",9.6428551803704e-179,3.41834149510744e-178,3.36536717855263e-08,4.20670897319078e-07,0.001,0.001,0.001,0.01,0.001,0.001,0.061,0.117307692307692,0.001,0.00238095238095238
"HALLMARK_FATTY_ACID_METABOLISM",2.13888247212114e-129,3.13176816394198e-129,0.040959040959041,0.0692855531565209,0.001,0.001,0.096,0.35,0.001,0.001,0.004,0.0117647058823529,0.001,0.00238095238095238
"HALLMARK_G2M_CHECKPOINT",2.37882167126664e-146,5.16789467354049e-146,0.993006993006993,1,0.001,0.001,0.021,0.105,0.001,0.001,0.001,0.00357142857142857,0.001,0.00238095238095238
"HALLMARK_GLYCOLYSIS",9.97566160804467e-178,3.11739425251396e-177,4.87845239609227e-08,4.87845239609227e-07,0.001,0.001,0.001,0.01,0.001,0.001,0.001,0.00357142857142857,0.001,0.00238095238095238
"HALLMARK_HEDGEHOG_SIGNALING",6.07116371977362e-81,6.4586848082698e-81,0.835164835164835,0.907787864309603,0.001,0.001,0.993,1,0.001,0.001,0.952,0.952,0.911,0.911
"HALLMARK_HEME_METABOLISM",1.32666318948543e-184,5.52776328952263e-184,0.0989010989010989,0.142714428428714,0.001,0.001,0.57,1,0.001,0.001,0.711,0.79,0.261,0.303488372093023
"HALLMARK_HYPOXIA",6.06453315508043e-149,1.37830298979101e-148,7.02421245721691e-12,3.51210622860845e-10,0.001,0.001,0.011,0.0611111111111111,0.001,0.001,0.001,0.00357142857142857,0.001,0.00238095238095238
"HALLMARK_IL2_STAT5_SIGNALING",1.02563956044551e-235,7.62414789533829e-235,0.000709812531060426,0.00221816415956383,0.001,0.001,0.984,1,0.001,0.001,0.677,0.769318181818182,0.191,0.232926829268293
"HALLMARK_IL6_JAK_STAT3_SIGNALING",5.8050677162733e-162,1.45126692906833e-161,0.433566433566434,0.504147015774923,0.001,0.001,0.77,1,0.001,0.001,0.037,0.0804347826086956,0.011,0.0171875
"HALLMARK_INFLAMMATORY_RESPONSE",1.36990402248756e-139,2.36190348704752e-139,0.117882117882118,0.163725163725164,0.001,0.001,1,1,0.001,0.001,0.107,0.191071428571429,0.005,0.00925925925925926
"HALLMARK_INTERFERON_ALPHA_RESPONSE",7.0547595337008e-140,1.30643695068533e-139,0.121878121878122,0.164700164700165,0.001,0.001,0.876,1,0.001,0.001,0.001,0.00357142857142857,0.001,0.00238095238095238
