"pathway","stat","stat_matched_med","stat_matched_mad","z_matched","n_matched","p_matched","p_adj_BH","n_spots","tier"
"Androgen",0.312718717520047,0.309102491288737,0.0671627663740327,0.0538427230821668,1999,0.4765,0.741222222222222,2746,"none"
"EGFR",0.558394180972952,0.0665205708432509,0.0479917078294218,10.2491374526195,1999,5e-04,0.00175,2746,"none"
"Estrogen",0.0489031479767218,0.0404598291272413,0.0278325889268967,0.303360886465043,1999,0.396,0.693,2746,"none"
"Hypoxia",0.669639930615697,0.424699202728156,0.064912048596739,3.77342470593119,1999,5e-04,0.00175,2746,"none"
"JAK-STAT",0.277873814902321,0.345163884790598,0.0454043486010505,-1.48201817582558,1999,0.9405,1,2746,"none"
"MAPK",0.666859605293423,0.177154383555846,0.0662637061005763,7.39024800385136,1999,5e-04,0.00175,2746,"none"
"NFkB",0.204375535732256,0.351922502007634,0.0490042970903745,-3.01089853412793,1999,1,1,2746,"none"
"PI3K",0.492565168962284,0.347427849143257,0.053378437974724,2.71902523426694,1999,0.005,0.014,2746,"none"
"TGFb",0.36269602170299,0.36988070757321,0.0650529593911931,-0.110443643724424,1999,0.54,0.756,2746,"none"
"TNFa",0.211124338384375,0.356858585026298,0.0535094559795023,-2.7235232348045,1999,1,1,2746,"none"
"Trail",0.0620038659262278,0.0363970420088049,0.0283501541175398,0.903234028684884,1999,0.262,0.524,2746,"none"
"VEGF",0.00256094999899328,0.014695546681628,0.0158538271164396,-0.765404882588363,1999,0.8055,1,2746,"none"
"WNT",0.15703303724675,0.0781001903812879,0.0324418016889675,2.43305990284458,1999,0.049,0.114333333333333,2746,"none"
"p53",0.584949626527446,0.328156074153955,0.0598739259967014,4.28890452895369,1999,5e-04,0.00175,2746,"none"
"Androgen",0.0571838431691629,0.0543369307464052,0.0237363490588488,0.119938934825213,1999,0.452,0.486769230769231,2746,"libsize"
"EGFR",0.332245677600459,0.0321438693192933,0.0246468539111287,12.1760695853219,1999,5e-04,0.00116666666666667,2746,"libsize"
"Estrogen",0.0515477195127318,0.021286069355578,0.0187715355489262,1.61210307373521,1999,0.1095,0.12775,2746,"libsize"
"Hypoxia",0.515768275268248,0.0828244343950757,0.0311866391935433,13.8823500084872,1999,5e-04,0.00116666666666667,2746,"libsize"
"JAK-STAT",0.292518912380239,0.0622208587269659,0.0214215016663495,10.7507894283174,1999,5e-04,0.00116666666666667,2746,"libsize"
"MAPK",0.391100743211022,0.0428792428891381,0.0271812349522634,12.811099309264,1999,5e-04,0.00116666666666667,2746,"libsize"
"NFkB",0.166688108515152,0.0586123546083158,0.0210680709664719,5.12983623791801,1999,0.003,0.00525,2746,"libsize"
"PI3K",0.154891734840161,0.0618700164124394,0.0206603355419887,4.50243018748028,1999,0.0045,0.007,2746,"libsize"
"TGFb",0.37806176661358,0.0668136427546064,0.0264895974162823,11.7498246186127,1999,5e-04,0.00116666666666667,2746,"libsize"
"TNFa",0.183833445412957,0.0607056782849296,0.0230237177997811,5.34786641318187,1999,0.0015,0.003,2746,"libsize"
"Trail",0.0630712151132545,0.0221304999313329,0.0189703033803189,2.15814762479742,1999,0.085,0.108181818181818,2746,"libsize"
"VEGF",0.00423296795748452,0.0114712944808366,0.0142152222407678,-0.509195452646062,1999,0.6945,0.6945,2746,"libsize"
"WNT",0.0781303030039002,0.0206868314988893,0.016665959780251,3.44675447813577,1999,0.0145,0.0203,2746,"libsize"
"p53",0.289881488504701,0.0560250193159374,0.0218381223010632,10.7086344679633,1999,5e-04,0.00116666666666667,2746,"libsize"
"Androgen",0.00676407866399269,0.00668415612172831,0.0117493693733204,0.00680228357156493,1999,0.4985,0.581583333333333,2746,"pcs"
"EGFR",0.0686838185569848,0.00328186919920305,0.0116547277511007,5.61162394819602,1999,5e-04,0.0014,2746,"pcs"
"Estrogen",-0.0121572484747053,0.00140753920891157,0.011361478176552,-1.19392806753017,1999,0.888,0.888,2746,"pcs"
"Hypoxia",0.164173217205676,0.0100306317019316,0.0115439135028075,13.3527148714565,1999,5e-04,0.0014,2746,"pcs"
"JAK-STAT",0.111725105889343,0.00752186938682281,0.0117507266967339,8.86781210999343,1999,5e-04,0.0014,2746,"pcs"
"MAPK",0.101102148471588,0.00464252499888859,0.0119010674389872,8.10512367627658,1999,5e-04,0.0014,2746,"pcs"
"NFkB",0.0467341160442088,0.00690895846455241,0.012035769370057,3.30890002584587,1999,0.0015,0.002625,2746,"pcs"
"PI3K",0.0242110909147577,0.0070528392093342,0.01140071214305,1.50501578235912,1999,0.072,0.0916363636363636,2746,"pcs"
"TGFb",0.0543491419044513,0.00854197873239773,0.011864890329482,3.86073211804001,1999,0.001,0.002,2746,"pcs"
"TNFa",0.0511759816702473,0.00779541862505277,0.0107982801771776,4.01735853611952,1999,5e-04,0.0014,2746,"pcs"
"Trail",0.0289559649439213,0.00112038696491398,0.0115745190121117,2.40490148660864,1999,0.0105,0.0147,2746,"pcs"
"VEGF",-0.00527615867193954,-0.00050759145853778,0.0112527032413098,-0.423770814100549,1999,0.6695,0.721,2746,"pcs"
"WNT",0.0411119975875659,0.000455613818913769,0.0113382358715554,3.58577685534379,1999,0.001,0.002,2746,"pcs"
"p53",0.0336108354248909,0.00682510207466367,0.0113045587693715,2.36946296593197,1999,0.01,0.0147,2746,"pcs"
