"pathway","stat","stat_matched_med","stat_matched_mad","z_matched","n_matched","p_matched","p_adj_BH","n_spots","replicate","scenario","tier","planted","signal_R2_removed","signal_R2_library"
"set01",0.745669522813807,0.160426520174774,0.125299642116895,4.67074759952663,999,0.001,0.004,225,1,"coherent_weak","none",TRUE,0,0.00538795348815591
"set02",0.786880939880457,0.183635367808332,0.113633528424282,5.30869348542748,999,0.001,0.004,225,1,"coherent_weak","none",TRUE,0,0.00466083397301009
"set03",0.846154854261815,0.27523132475656,0.103939203596044,5.49286034289939,999,0.001,0.004,225,1,"coherent_weak","none",TRUE,1.11022302462516e-16,0.0298492799103318
"set04",0.00254383378207475,0.105783715651814,0.0997287182920271,-1.035207146325,999,0.92,0.92,225,1,"coherent_weak","none",FALSE,NA,NA
"set05",0.199641590619349,0.199855555953229,0.116626827009944,-0.00183461506555503,999,0.501,0.757090909090909,225,1,"coherent_weak","none",FALSE,NA,NA
"set06",0.184278150525289,0.234244941382727,0.1028176093861,-0.48597503050089,999,0.694,0.757090909090909,225,1,"coherent_weak","none",FALSE,NA,NA
"set07",0.312901694265792,0.163422228586322,0.121641204275344,1.22885552284661,999,0.206,0.412,225,1,"coherent_weak","none",FALSE,NA,NA
"set08",0.386901057094999,0.177586899004041,0.112884320298048,1.85423588978794,999,0.101,0.303,225,1,"coherent_weak","none",FALSE,NA,NA
"set09",0.241236646354942,0.255031340178113,0.0942027031266388,-0.146436284366771,999,0.546,0.757090909090909,225,1,"coherent_weak","none",FALSE,NA,NA
"set10",0.0719100096148546,0.0938476003717178,0.0945562357807495,-0.232005753779482,999,0.581,0.757090909090909,225,1,"coherent_weak","none",FALSE,NA,NA
"set11",0.130430036419797,0.173365418012848,0.108666301815412,-0.395112200155516,999,0.671,0.757090909090909,225,1,"coherent_weak","none",FALSE,NA,NA
"set12",0.36771577261012,0.223682632086926,0.10355560408283,1.39087731464526,999,0.148,0.3552,225,1,"coherent_weak","none",FALSE,NA,NA
"set01",0.740193485059762,0.160984648926211,0.120676294169373,4.79969027985408,999,0.001,0.004,225,1,"coherent_weak","libsize",TRUE,0.00538795348815591,0.00538795348815591
"set02",0.785420513781274,0.193671041583246,0.108031695030971,5.4775542680172,999,0.001,0.004,225,1,"coherent_weak","libsize",TRUE,0.00466083397301009,0.00466083397301009
"set03",0.836077388285464,0.28982393460973,0.096555642894746,5.65739543851619,999,0.001,0.004,225,1,"coherent_weak","libsize",TRUE,0.0298492799103318,0.0298492799103318
"set04",0.000980486298850224,0.114294565346019,0.0982187220502964,-1.15369123810369,999,0.947,0.947,225,1,"coherent_weak","libsize",FALSE,NA,NA
"set05",0.216377913620516,0.207636641367248,0.111428939411733,0.0784470560288501,999,0.466,0.798857142857143,225,1,"coherent_weak","libsize",FALSE,NA,NA
"set06",0.187154866166728,0.260754766161754,0.0998977090028575,-0.736752631563559,999,0.808,0.881454545454545,225,1,"coherent_weak","libsize",FALSE,NA,NA
"set07",0.312265722402578,0.166290048026423,0.117135069704244,1.24621665180831,999,0.205,0.41,225,1,"coherent_weak","libsize",FALSE,NA,NA
"set08",0.394204266136792,0.189893779042929,0.106409778347123,1.920034890284,999,0.105,0.2904,225,1,"coherent_weak","libsize",FALSE,NA,NA
"set09",0.247803911534587,0.273807195402623,0.0947918989006071,-0.274319685222274,999,0.621,0.852,225,1,"coherent_weak","libsize",FALSE,NA,NA
"set10",0.0688990611571103,0.096286561839181,0.0877256049985947,-0.312195061892243,999,0.639,0.852,225,1,"coherent_weak","libsize",FALSE,NA,NA
"set11",0.115806269199618,0.185251244141349,0.106539584178233,-0.651823221175276,999,0.795,0.881454545454545,225,1,"coherent_weak","libsize",FALSE,NA,NA
"set12",0.397922644053947,0.246678400801172,0.100225648239204,1.50903731639437,999,0.121,0.2904,225,1,"coherent_weak","libsize",FALSE,NA,NA
"set01",0.737516915952395,0.0663464819317776,0.0484323255281802,13.8579022729375,999,0.001,0.004,225,1,"coherent_weak","pcs1",TRUE,0.11490677807118,0.00538795348815591
"set02",0.787295103464347,0.113397352374954,0.0513890537642566,13.1136438935196,999,0.001,0.004,225,1,"coherent_weak","pcs1",TRUE,0.0070403517050931,0.00466083397301009
"set03",0.827718451077749,0.217924941115827,0.0531479631888854,11.473506666563,999,0.001,0.004,225,1,"coherent_weak","pcs1",TRUE,0.260538104605025,0.0298492799103318
"set04",0.00927865951603696,0.0390800721326258,0.0434390660817149,-0.686050951475989,999,0.747,0.944727272727273,225,1,"coherent_weak","pcs1",FALSE,NA,NA
"set05",-0.0465554799236843,0.123620895905062,0.052724258628729,-3.22766749603984,999,1,1,225,1,"coherent_weak","pcs1",FALSE,NA,NA
"set06",0.131476702525695,0.186557364108884,0.052230441058212,-1.05457010255379,999,0.852,0.944727272727273,225,1,"coherent_weak","pcs1",FALSE,NA,NA
"set07",0.0944612133581485,0.0767503630422739,0.0494628831606551,0.358063444428622,999,0.366,0.757714285714286,225,1,"coherent_weak","pcs1",FALSE,NA,NA
"set08",0.0558207855361154,0.10892283795147,0.0493266043926785,-1.07653979164308,999,0.866,0.944727272727273,225,1,"coherent_weak","pcs1",FALSE,NA,NA
"set09",0.217799234085675,0.208886285308589,0.0542340352487906,0.164342349526446,999,0.425,0.757714285714286,225,1,"coherent_weak","pcs1",FALSE,NA,NA
"set10",0.0354987376934355,0.0296165331907958,0.0435917668352381,0.134938428278726,999,0.442,0.757714285714286,225,1,"coherent_weak","pcs1",FALSE,NA,NA
"set11",0.107627550142481,0.109822009273783,0.0550456967699772,-0.0398661341407304,999,0.517,0.7755,225,1,"coherent_weak","pcs1",FALSE,NA,NA
"set12",0.279833391731953,0.170101359560895,0.0603804839671476,1.8173427068051,999,0.026,0.078,225,1,"coherent_weak","pcs1",FALSE,NA,NA
"set01",0.669375123743996,-0.00438821684666667,0.0371636890414857,18.1296140928998,999,0.001,0.004,225,1,"coherent_weak","pcs3",TRUE,0.275953822659526,0.00538795348815591
"set02",0.611792819421801,0.0034343935109556,0.0400232032321482,15.2001433364081,999,0.001,0.004,225,1,"coherent_weak","pcs3",TRUE,0.642706328439342,0.00466083397301009
"set03",0.674039764398744,0.00785524625956209,0.0384489366052525,17.3264744608873,999,0.001,0.004,225,1,"coherent_weak","pcs3",TRUE,0.809372653998142,0.0298492799103318
