"scenario","tier","detection","signal_R2_removed","signal_R2_library"
"coherent_strong","libsize",1,0.0483322773039401,0.0483322773039401
"coherent_weak","libsize",1,0.0111846408662747,0.0111846408662747
"coherent_strong","none",1,9.25185853854297e-18,0.0483322773039401
"coherent_weak","none",1,9.25185853854297e-18,0.0111846408662747
"coherent_strong","pcs1",1,0.183905821980483,0.0483322773039401
"coherent_weak","pcs1",1,0.134562250084427,0.0111846408662747
"coherent_strong","pcs10",0.0666666666666667,0.965612344827786,0.0483322773039401
"coherent_weak","pcs10",1,0.715142173695662,0.0111846408662747
"coherent_strong","pcs3",1,0.800227770762205,0.0483322773039401
"coherent_weak","pcs3",1,0.570200932422174,0.0111846408662747
