"scenario","tier","chunk_sets","max_stat_difference","p_values_identical"
"global_null","none",17,0,TRUE
"global_null","none",250,0,TRUE
"global_null","libsize",17,0,TRUE
"global_null","libsize",250,0,TRUE
"global_null","pcs",17,0,TRUE
"global_null","pcs",250,0,TRUE
"coherent_strong","none",17,0,TRUE
"coherent_strong","none",250,0,TRUE
"coherent_strong","libsize",17,0,TRUE
"coherent_strong","libsize",250,0,TRUE
"coherent_strong","pcs",17,0,TRUE
"coherent_strong","pcs",250,0,TRUE
"correlated_nonspatial","none",17,0,TRUE
"correlated_nonspatial","none",250,0,TRUE
"correlated_nonspatial","libsize",17,0,TRUE
"correlated_nonspatial","libsize",250,0,TRUE
"correlated_nonspatial","pcs",17,0,TRUE
"correlated_nonspatial","pcs",250,0,TRUE
