estimand,total,total,library-size residual,library-size residual,10-PC residual,10-PC residual
cohort,GSE274557,GSE282302,GSE274557,GSE282302,GSE274557,GSE282302
pathway,,,,,,
TNFA_SIGNALING_VIA_NFKB,0.0769230769230769,0.641025641025641,1.0,0.948717948717949,1.0,0.974358974358974
MYOGENESIS,0.384615384615385,0.564102564102564,1.0,0.923076923076923,0.461538461538462,0.82051282051282
MTORC1_SIGNALING,0.307692307692308,0.564102564102564,0.692307692307692,0.82051282051282,1.0,0.743589743589744
INTERFERON_GAMMA_RESPONSE,0.384615384615385,0.692307692307692,1.0,0.974358974358974,1.0,0.974358974358974
INTERFERON_ALPHA_RESPONSE,0.307692307692308,0.846153846153846,1.0,1.0,0.846153846153846,1.0
HYPOXIA,0.230769230769231,0.58974358974359,1.0,0.923076923076923,1.0,0.974358974358974
G2M_CHECKPOINT,0.461538461538462,0.384615384615385,0.923076923076923,0.871794871794872,1.0,0.948717948717949
EPITHELIAL_MESENCHYMAL_TRANSITION,0.153846153846154,0.717948717948718,1.0,0.948717948717949,1.0,1.0
E2F_TARGETS,0.615384615384615,0.461538461538462,0.846153846153846,0.82051282051282,1.0,0.948717948717949
COAGULATION,0.384615384615385,0.666666666666667,1.0,0.948717948717949,0.846153846153846,0.897435897435897
APICAL_JUNCTION,0.153846153846154,0.666666666666667,1.0,0.923076923076923,0.153846153846154,0.58974358974359
ALLOGRAFT_REJECTION,0.230769230769231,0.666666666666667,1.0,1.0,0.923076923076923,0.948717948717949
INFLAMMATORY_RESPONSE,0.0769230769230769,0.564102564102564,0.923076923076923,0.948717948717949,0.923076923076923,0.948717948717949
MITOTIC_SPINDLE,0.0769230769230769,0.282051282051282,0.923076923076923,0.692307692307692,0.153846153846154,0.564102564102564
IL6_JAK_STAT3_SIGNALING,0.153846153846154,0.564102564102564,0.846153846153846,0.923076923076923,0.384615384615385,0.82051282051282
ANGIOGENESIS,0.307692307692308,0.615384615384615,0.923076923076923,0.871794871794872,0.692307692307692,0.794871794871795
MYC_TARGETS_V1,0.538461538461538,0.333333333333333,0.615384615384615,0.538461538461538,0.846153846153846,0.897435897435897
KRAS_SIGNALING_UP,0.0769230769230769,0.538461538461538,0.615384615384615,0.897435897435897,0.615384615384615,0.769230769230769
COMPLEMENT,0.230769230769231,0.564102564102564,0.769230769230769,0.897435897435897,0.384615384615385,0.794871794871795
UV_RESPONSE_DN,0.0,0.333333333333333,0.615384615384615,0.871794871794872,0.153846153846154,0.538461538461538
PANCREAS_BETA_CELLS,0.0,0.666666666666667,0.0769230769230769,0.82051282051282,0.0769230769230769,0.871794871794872
GLYCOLYSIS,0.461538461538462,0.769230769230769,0.615384615384615,0.871794871794872,0.384615384615385,0.615384615384615
APOPTOSIS,0.0,0.564102564102564,0.538461538461538,0.871794871794872,0.153846153846154,0.58974358974359
OXIDATIVE_PHOSPHORYLATION,0.384615384615385,0.461538461538462,0.307692307692308,0.641025641025641,0.846153846153846,0.769230769230769
CHOLESTEROL_HOMEOSTASIS,0.307692307692308,0.512820512820513,0.384615384615385,0.82051282051282,0.692307692307692,0.666666666666667
ESTROGEN_RESPONSE_LATE,0.461538461538462,0.58974358974359,0.769230769230769,0.794871794871795,0.0769230769230769,0.58974358974359
ESTROGEN_RESPONSE_EARLY,0.307692307692308,0.435897435897436,0.769230769230769,0.743589743589744,0.0,0.384615384615385
TGF_BETA_SIGNALING,0.0,0.435897435897436,0.307692307692308,0.692307692307692,0.0,0.538461538461538
MYC_TARGETS_V2,0.461538461538462,0.307692307692308,0.538461538461538,0.692307692307692,0.461538461538462,0.512820512820513
KRAS_SIGNALING_DN,0.230769230769231,0.333333333333333,0.692307692307692,0.487179487179487,0.0769230769230769,0.641025641025641
IL2_STAT5_SIGNALING,0.0,0.358974358974359,0.461538461538462,0.692307692307692,0.0,0.435897435897436
XENOBIOTIC_METABOLISM,0.384615384615385,0.230769230769231,0.615384615384615,0.615384615384615,0.461538461538462,0.538461538461538
FATTY_ACID_METABOLISM,0.153846153846154,0.435897435897436,0.230769230769231,0.615384615384615,0.538461538461538,0.58974358974359
BILE_ACID_METABOLISM,0.0769230769230769,0.358974358974359,0.384615384615385,0.58974358974359,0.0769230769230769,0.102564102564103
P53_PATHWAY,0.153846153846154,0.41025641025641,0.307692307692308,0.564102564102564,0.0769230769230769,0.333333333333333
UV_RESPONSE_UP,0.0,0.153846153846154,0.0,0.538461538461538,0.0,0.538461538461538
UNFOLDED_PROTEIN_RESPONSE,0.0,0.0769230769230769,0.307692307692308,0.153846153846154,0.538461538461538,0.333333333333333
ADIPOGENESIS,0.230769230769231,0.230769230769231,0.538461538461538,0.538461538461538,0.307692307692308,0.538461538461538
PEROXISOME,0.153846153846154,0.358974358974359,0.153846153846154,0.512820512820513,0.0,0.128205128205128
PROTEIN_SECRETION,0.0769230769230769,0.487179487179487,0.153846153846154,0.282051282051282,0.0769230769230769,0.0256410256410256
SPERMATOGENESIS,0.230769230769231,0.333333333333333,0.0769230769230769,0.384615384615385,0.0769230769230769,0.358974358974359
PI3K_AKT_MTOR_SIGNALING,0.0,0.282051282051282,0.0,0.307692307692308,0.0769230769230769,0.0512820512820513
NOTCH_SIGNALING,0.0769230769230769,0.102564102564103,0.307692307692308,0.205128205128205,0.0,0.0256410256410256
APICAL_SURFACE,0.0,0.179487179487179,0.307692307692308,0.230769230769231,0.0,0.0512820512820513
ANDROGEN_RESPONSE,0.0,0.230769230769231,0.307692307692308,0.153846153846154,0.0,0.128205128205128
HEDGEHOG_SIGNALING,0.0769230769230769,0.153846153846154,0.153846153846154,0.256410256410256,0.0,0.282051282051282
DNA_REPAIR,0.230769230769231,0.102564102564103,0.0,0.205128205128205,0.0,0.0256410256410256
HEME_METABOLISM,0.0,0.0512820512820513,0.0,0.205128205128205,0.0769230769230769,0.179487179487179
REACTIVE_OXYGEN_SPECIES_PATHWAY,0.0,0.128205128205128,0.0769230769230769,0.179487179487179,0.0,0.102564102564103
WNT_BETA_CATENIN_SIGNALING,0.0,0.0256410256410256,0.0,0.128205128205128,0.0,0.0769230769230769
